datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-01-18 18-54-15,635,297,338,66,com.yangcong345.android.phone,3883,144
2024-01-18 18-54-20,513,272,241,276,com.yangcong345.android.phone,3883,158
2024-01-18 18-54-25,511,252,259,283,com.yangcong345.android.phone,3883,117
2024-01-18 18-54-30,735,407,328,62,com.yangcong345.android.phone,3883,155
2024-01-18 18-54-35,576,262,314,217,com.yangcong345.android.phone,3883,134
2024-01-18 18-54-41,523,233,290,243,com.yangcong345.android.phone,3883,137
2024-01-18 18-54-45,593,279,314,203,com.yangcong345.android.phone,3883,165
2024-01-18 18-54-50,525,266,259,276,com.yangcong345.android.phone,3883,148
2024-01-18 18-54-55,620,286,334,169,com.yangcong345.android.phone,3883,148
2024-01-18 18-55-00,383,148,235,416,com.yangcong345.android.phone,3883,96.7
2024-01-18 18-55-05,514,243,271,286,com.yangcong345.android.phone,3883,103
2024-01-18 18-55-10,478,221,257,307,com.yangcong345.android.phone,3883,107
2024-01-18 18-55-15,524,248,276,269,com.yangcong345.android.phone,3883,106
2024-01-18 18-55-20,586,300,286,207,com.yangcong345.android.phone,3883,110
2024-01-18 18-55-26,587,319,268,65,com.yangcong345.android.phone,3883,96.7
2024-01-18 18-55-31,570,307,263,63,com.yangcong345.android.phone,3883,76.6
2024-01-18 18-55-35,410,179,231,383,com.yangcong345.android.phone,3883,96.5
2024-01-18 18-55-40,547,236,311,254,com.yangcong345.android.phone,3883,196
2024-01-18 18-55-45,471,207,264,321,com.yangcong345.android.phone,3883,128
2024-01-18 18-55-51,866,483,383,114,com.yangcong345.android.phone,3883,134
2024-01-18 18-55-55,443,200,243,350,com.yangcong345.android.phone,3883,103
2024-01-18 18-56-00,403,196,207,396,com.yangcong345.android.phone,3883,103
2024-01-18 18-56-06,473,266,207,303,com.yangcong345.android.phone,3883,103
2024-01-18 18-56-10,479,207,272,317,com.yangcong345.android.phone,3883,110
2024-01-18 18-56-16,353,170,183,443,com.yangcong345.android.phone,3883,100
2024-01-18 18-56-21,397,207,190,400,com.yangcong345.android.phone,3883,106
2024-01-18 18-56-26,276,153,123,520,com.yangcong345.android.phone,3883,93.3
2024-01-18 18-56-31,400,193,207,393,com.yangcong345.android.phone,3883,103
2024-01-18 18-56-36,432,186,246,361,com.yangcong345.android.phone,3883,92.8
2024-01-18 18-56-41,673,314,359,86,com.yangcong345.android.phone,3883,151
2024-01-18 18-56-46,590,262,328,203,com.yangcong345.android.phone,3883,186
2024-01-18 18-56-51,507,232,275,289,com.yangcong345.android.phone,3883,107
2024-01-18 18-56-56,428,200,228,372,com.yangcong345.android.phone,3883,100
2024-01-18 18-57-01,414,189,225,379,com.yangcong345.android.phone,3883,110
2024-01-18 18-57-06,882,461,421,200,com.yangcong345.android.phone,3883,132
2024-01-18 18-57-11,397,183,214,400,com.yangcong345.android.phone,3883,103
2024-01-18 18-57-16,410,200,210,386,com.yangcong345.android.phone,3883,117
2024-01-18 18-57-21,780,414,366,7,com.yangcong345.android.phone,3883,148
2024-01-18 18-57-26,623,293,330,173,com.yangcong345.android.phone,3883,170
2024-01-18 18-57-31,617,320,297,177,com.yangcong345.android.phone,3883,160
2024-01-18 18-57-36,503,218,285,271,com.yangcong345.android.phone,3883,114
2024-01-18 18-57-41,928,514,414,172,com.yangcong345.android.phone,3883,144
2024-01-18 18-57-46,621,259,362,172,com.yangcong345.android.phone,3883,237
2024-01-18 18-57-51,613,318,295,37,com.yangcong345.android.phone,3883,121
2024-01-18 18-57-56,528,272,256,188,com.yangcong345.android.phone,3883,118
2024-01-18 18-58-01,450,200,250,346,com.yangcong345.android.phone,3883,107
2024-01-18 18-58-06,765,446,319,43,com.yangcong345.android.phone,3883,124
2024-01-18 18-58-11,474,235,239,323,com.yangcong345.android.phone,3883,100
2024-01-18 18-58-16,651,348,303,145,com.yangcong345.android.phone,3883,189
2024-01-18 18-58-21,631,321,310,166,com.yangcong345.android.phone,3883,155
2024-01-18 18-58-26,497,261,236,300,com.yangcong345.android.phone,3883,146
2024-01-18 18-58-31,403,188,215,391,com.yangcong345.android.phone,3883,115
2024-01-18 18-58-36,526,233,293,267,com.yangcong345.android.phone,3883,130
2024-01-18 18-58-41,689,343,346,100,com.yangcong345.android.phone,3883,185
2024-01-18 18-58-46,589,257,332,207,com.yangcong345.android.phone,3883,207
2024-01-18 18-58-51,572,254,318,225,com.yangcong345.android.phone,3883,178
2024-01-18 18-58-56,428,197,231,366,com.yangcong345.android.phone,3883,100
2024-01-18 18-59-01,546,246,300,189,com.yangcong345.android.phone,3883,102
2024-01-18 18-59-06,411,211,200,382,com.yangcong345.android.phone,3883,100
2024-01-18 18-59-11,393,193,200,400,com.yangcong345.android.phone,3883,100
2024-01-18 18-59-16,710,355,355,26,com.yangcong345.android.phone,3883,83.8
2024-01-18 18-59-21,390,190,200,403,com.yangcong345.android.phone,3883,96.5
2024-01-18 18-59-26,655,355,300,138,com.yangcong345.android.phone,3883,186
2024-01-18 18-59-31,462,241,221,334,com.yangcong345.android.phone,3883,141
2024-01-18 18-59-36,492,246,246,300,com.yangcong345.android.phone,3883,132
2024-01-18 18-59-41,733,443,290,33,com.yangcong345.android.phone,3883,150
2024-01-18 18-59-46,449,221,228,348,com.yangcong345.android.phone,3883,131
2024-01-18 18-59-51,552,288,264,242,com.yangcong345.android.phone,3883,136
2024-01-18 18-59-56,769,331,438,21,com.yangcong345.android.phone,3883,200
2024-01-18 19-00-01,454,200,254,339,com.yangcong345.android.phone,3883,117
2024-01-18 19-00-06,593,290,303,200,com.yangcong345.android.phone,3883,162
2024-01-18 19-00-11,577,303,274,216,com.yangcong345.android.phone,3883,161
2024-01-18 19-00-16,668,373,295,81,com.yangcong345.android.phone,3883,110
2024-01-18 19-00-21,793,417,376,72,com.yangcong345.android.phone,3883,172
2024-01-18 19-00-26,687,330,357,0,com.yangcong345.android.phone,3883,86.6
2024-01-18 19-00-31,448,210,238,348,com.yangcong345.android.phone,3883,113
2024-01-18 19-00-36,569,252,317,224,com.yangcong345.android.phone,3883,65.5
2024-01-18 19-00-41,390,190,200,403,com.yangcong345.android.phone,3883,89.6
2024-01-18 19-00-46,472,224,248,324,com.yangcong345.android.phone,3883,148
2024-01-18 19-00-51,589,271,318,207,com.yangcong345.android.phone,3883,217
2024-01-18 19-00-56,518,221,297,276,com.yangcong345.android.phone,3883,86.2
2024-01-18 19-01-01,529,193,336,250,com.yangcong345.android.phone,3883,71.4
2024-01-18 19-01-06,738,352,386,59,com.yangcong345.android.phone,3883,168
2024-01-18 19-01-11,473,221,252,317,com.yangcong345.android.phone,3883,134
2024-01-18 19-01-16,414,207,207,386,com.yangcong345.android.phone,3883,120
2024-01-18 19-01-21,546,225,321,246,com.yangcong345.android.phone,3883,78.5
2024-01-18 19-01-26,525,236,289,271,com.yangcong345.android.phone,3883,67.8
2024-01-18 19-01-31,414,200,214,375,com.yangcong345.android.phone,3883,117
2024-01-18 19-01-36,472,200,272,324,com.yangcong345.android.phone,3883,134
2024-01-18 19-01-41,497,259,238,300,com.yangcong345.android.phone,3883,144
2024-01-18 19-01-46,548,203,345,248,com.yangcong345.android.phone,3883,89.6
2024-01-18 19-01-51,607,257,350,193,com.yangcong345.android.phone,3883,207
2024-01-18 19-01-56,447,222,225,350,com.yangcong345.android.phone,3883,140
2024-01-18 19-02-01,486,224,262,310,com.yangcong345.android.phone,3883,110
2024-01-18 19-02-06,458,229,229,339,com.yangcong345.android.phone,3883,121
2024-01-18 19-02-11,435,207,228,359,com.yangcong345.android.phone,3883,110
2024-01-18 19-02-16,644,372,272,148,com.yangcong345.android.phone,3883,134
2024-01-18 19-02-21,500,218,282,293,com.yangcong345.android.phone,3883,85.7
2024-01-18 19-02-26,586,276,310,207,com.yangcong345.android.phone,3883,100
2024-01-18 19-02-31,451,217,234,338,com.yangcong345.android.phone,3883,144
2024-01-18 19-02-36,827,441,386,155,com.yangcong345.android.phone,3883,124
2024-01-18 19-02-41,724,431,293,72,com.yangcong345.android.phone,3883,151
2024-01-18 19-02-46,800,464,336,46,com.yangcong345.android.phone,3883,160
2024-01-18 19-02-51,527,224,303,272,com.yangcong345.android.phone,3883,100
2024-01-18 19-02-56,638,269,369,155,com.yangcong345.android.phone,3883,206
2024-01-18 19-03-01,503,231,272,290,com.yangcong345.android.phone,3883,96.5
2024-01-18 19-03-06,443,211,232,354,com.yangcong345.android.phone,3883,114
2024-01-18 19-03-11,896,479,417,200,com.yangcong345.android.phone,3883,158
2024-01-18 19-03-16,686,350,336,100,com.yangcong345.android.phone,3883,160
2024-01-18 19-03-21,417,214,203,379,com.yangcong345.android.phone,3883,124
2024-01-18 19-03-26,700,357,343,13,com.yangcong345.android.phone,3883,96.6
2024-01-18 19-03-31,462,234,228,338,com.yangcong345.android.phone,3883,103
2024-01-18 19-03-36,886,483,403,197,com.yangcong345.android.phone,3883,93.1
2024-01-18 19-03-41,473,221,252,321,com.yangcong345.android.phone,3883,103
2024-01-18 19-03-46,452,200,252,345,com.yangcong345.android.phone,3883,100
2024-01-18 19-03-51,455,248,207,345,com.yangcong345.android.phone,3883,165
2024-01-18 19-03-56,638,297,341,155,com.yangcong345.android.phone,3883,268
2024-01-18 19-04-01,662,355,307,107,com.yangcong345.android.phone,3883,210
2024-01-18 19-04-06,545,252,293,255,com.yangcong345.android.phone,3883,134
2024-01-18 19-04-11,511,245,266,283,com.yangcong345.android.phone,3883,151
2024-01-18 19-04-16,525,246,279,271,com.yangcong345.android.phone,3883,100
2024-01-18 19-04-21,518,207,311,279,com.yangcong345.android.phone,3883,89.2
2024-01-18 19-04-26,733,380,353,13,com.yangcong345.android.phone,3883,66.6
2024-01-18 19-04-31,424,224,200,372,com.yangcong345.android.phone,3883,117
2024-01-18 19-04-36,572,269,303,203,com.yangcong345.android.phone,3883,106
2024-01-18 19-04-41,485,189,296,307,com.yangcong345.android.phone,3883,67.8
2024-01-18 19-04-46,436,200,236,361,com.yangcong345.android.phone,3883,114
2024-01-18 19-04-51,397,161,236,400,com.yangcong345.android.phone,3883,50.0
2024-01-18 19-04-56,457,211,246,336,com.yangcong345.android.phone,3883,139
2024-01-18 19-05-01,428,183,245,372,com.yangcong345.android.phone,3883,172
2024-01-18 19-05-06,436,168,268,354,com.yangcong345.android.phone,3883,50.0
2024-01-18 19-05-11,400,182,218,393,com.yangcong345.android.phone,3883,75.0
2024-01-18 19-05-16,665,304,361,107,com.yangcong345.android.phone,3883,82.1
2024-01-18 19-05-21,390,160,230,403,com.yangcong345.android.phone,3883,43.3
2024-01-18 19-05-26,758,348,410,38,com.yangcong345.android.phone,3883,165
2024-01-18 19-05-31,464,221,243,325,com.yangcong345.android.phone,3883,110
2024-01-18 19-05-36,445,224,221,348,com.yangcong345.android.phone,3883,141
2024-01-18 19-05-41,596,262,334,193,com.yangcong345.android.phone,3883,134
2024-01-18 19-05-46,451,217,234,345,com.yangcong345.android.phone,3883,137
2024-01-18 19-05-51,647,336,311,121,com.yangcong345.android.phone,3883,185
2024-01-18 19-05-56,493,252,241,307,com.yangcong345.android.phone,3883,148
2024-01-18 19-06-01,553,214,339,243,com.yangcong345.android.phone,3883,110
2024-01-18 19-06-06,693,293,400,100,com.yangcong345.android.phone,3883,213
2024-01-18 19-06-11,553,214,339,243,com.yangcong345.android.phone,3883,71.4
2024-01-18 19-06-16,542,266,276,255,com.yangcong345.android.phone,3883,148
2024-01-18 19-06-22,300,147,153,500,com.yangcong345.android.phone,3883,83.3
2024-01-18 19-06-26,569,252,317,228,com.yangcong345.android.phone,3883,106
2024-01-18 19-06-31,462,241,221,334,com.yangcong345.android.phone,3883,120
2024-01-18 19-06-36,443,236,207,354,com.yangcong345.android.phone,3883,100
2024-01-18 19-06-41,517,231,286,279,com.yangcong345.android.phone,3883,72.4
2024-01-18 19-06-46,573,290,283,221,com.yangcong345.android.phone,3883,165
2024-01-18 19-06-51,434,200,234,366,com.yangcong345.android.phone,3883,58.6
2024-01-18 19-06-56,563,277,286,131,com.yangcong345.android.phone,3883,128
2024-01-18 19-07-01,468,236,232,325,com.yangcong345.android.phone,3883,210
2024-01-18 19-07-06,713,326,387,97,com.yangcong345.android.phone,3883,93.5
2024-01-18 19-07-11,836,463,373,93,com.yangcong345.android.phone,3883,146
2024-01-18 19-07-16,606,300,306,181,com.yangcong345.android.phone,3883,170
2024-01-18 19-07-21,607,297,310,162,com.yangcong345.android.phone,3883,86.2
2024-01-18 19-07-26,418,200,218,379,com.yangcong345.android.phone,3883,100
2024-01-18 19-07-31,665,355,310,45,com.yangcong345.android.phone,3883,103
2024-01-18 19-07-36,548,255,293,238,com.yangcong345.android.phone,3883,113
2024-01-18 19-07-41,476,243,233,317,com.yangcong345.android.phone,3883,140
2024-01-18 19-07-46,655,331,324,145,com.yangcong345.android.phone,3883,127
2024-01-18 19-07-51,441,200,241,348,com.yangcong345.android.phone,3883,117
2024-01-18 19-07-56,662,362,300,59,com.yangcong345.android.phone,3883,124
2024-01-18 19-08-01,800,369,431,83,com.yangcong345.android.phone,3883,179
2024-01-18 19-08-06,734,367,367,37,com.yangcong345.android.phone,3883,56.6
2024-01-18 19-08-12,345,162,183,455,com.yangcong345.android.phone,3883,82.7
2024-01-18 19-08-16,686,336,350,7,com.yangcong345.android.phone,3883,100
2024-01-18 19-08-21,713,403,310,86,com.yangcong345.android.phone,3883,120
2024-01-18 19-08-26,475,261,214,321,com.yangcong345.android.phone,3883,150
2024-01-18 19-08-31,506,272,234,290,com.yangcong345.android.phone,3883,103
2024-01-18 19-08-36,531,234,297,266,com.yangcong345.android.phone,3883,124
2024-01-18 19-08-41,606,315,291,121,com.yangcong345.android.phone,3883,112
2024-01-18 19-08-46,542,283,259,231,com.yangcong345.android.phone,3883,200
2024-01-18 19-08-52,419,178,241,381,com.yangcong345.android.phone,3883,46.8
2024-01-18 19-08-56,452,190,262,345,com.yangcong345.android.phone,3883,37.9
2024-01-18 19-09-01,493,204,289,304,com.yangcong345.android.phone,3883,192
2024-01-18 19-09-06,411,159,252,386,com.yangcong345.android.phone,3883,24.1
2024-01-18 19-09-11,490,231,259,293,com.yangcong345.android.phone,3883,117
2024-01-18 19-09-16,504,245,259,290,com.yangcong345.android.phone,3883,155
2024-01-18 19-09-21,540,261,279,246,com.yangcong345.android.phone,3883,160
2024-01-18 19-09-26,576,293,283,224,com.yangcong345.android.phone,3883,120
2024-01-18 19-09-32,776,431,345,31,com.yangcong345.android.phone,3883,82.7
2024-01-18 19-09-37,652,345,307,131,com.yangcong345.android.phone,3883,137
2024-01-18 19-09-42,486,203,283,314,com.yangcong345.android.phone,3883,89.6
2024-01-18 19-09-47,421,221,200,375,com.yangcong345.android.phone,3883,100
2024-01-18 19-09-52,420,186,234,376,com.yangcong345.android.phone,3883,82.7
2024-01-18 19-09-57,432,189,243,364,com.yangcong345.android.phone,3883,135
2024-01-18 19-10-02,849,397,452,62,com.yangcong345.android.phone,3883,217
