datetime,activity window,fps,jank
2024-01-18 18-54-15,,0,0
2024-01-18 18-54-20,,15,8
2024-01-18 18-54-26,,14,4
2024-01-18 18-54-31,,0,0
2024-01-18 18-54-36,,0,0
2024-01-18 18-54-41,,0,0
2024-01-18 18-54-46,,0,0
2024-01-18 18-54-51,,0,0
2024-01-18 18-54-56,,0,0
2024-01-18 18-55-01,,0,0
2024-01-18 18-55-06,,0,0
2024-01-18 18-55-11,,0,0
2024-01-18 18-55-16,,0,0
2024-01-18 18-55-21,,0,0
2024-01-18 18-55-26,,0,0
2024-01-18 18-55-31,,0,0
2024-01-18 18-55-36,,0,0
2024-01-18 18-55-41,,0,0
2024-01-18 18-55-46,,0,0
2024-01-18 18-55-51,,0,0
2024-01-18 18-55-56,,0,0
2024-01-18 18-56-01,,0,0
2024-01-18 18-56-06,,0,0
2024-01-18 18-56-11,,0,0
2024-01-18 18-56-16,,0,0
2024-01-18 18-56-22,,0,0
2024-01-18 18-56-26,,0,0
2024-01-18 18-56-31,,0,0
2024-01-18 18-56-36,,0,0
2024-01-18 18-56-42,,0,0
2024-01-18 18-56-46,,0,0
2024-01-18 18-56-51,,0,0
2024-01-18 18-56-56,,0,0
2024-01-18 18-57-01,,0,0
2024-01-18 18-57-06,,0,0
2024-01-18 18-57-11,,0,0
2024-01-18 18-57-16,,0,0
2024-01-18 18-57-21,,0,0
2024-01-18 18-57-26,,25,5
2024-01-18 18-57-31,,22,6
2024-01-18 18-57-36,,8,1
2024-01-18 18-57-41,,0,0
2024-01-18 18-57-46,,0,0
2024-01-18 18-57-52,,0,0
2024-01-18 18-57-56,,0,0
2024-01-18 18-58-01,,0,0
2024-01-18 18-58-06,,33,5
2024-01-18 18-58-11,,23,6
2024-01-18 18-58-16,,23,7
2024-01-18 18-58-21,,31,3
2024-01-18 18-58-26,,0,0
2024-01-18 18-58-31,,0,0
2024-01-18 18-58-36,,0,0
2024-01-18 18-58-41,,0,0
2024-01-18 18-58-46,,0,0
2024-01-18 18-58-51,,0,0
2024-01-18 18-58-56,,0,0
2024-01-18 18-59-02,,0,0
2024-01-18 18-59-06,,0,0
2024-01-18 18-59-11,,0,0
2024-01-18 18-59-16,,0,0
2024-01-18 18-59-21,,0,0
2024-01-18 18-59-26,,33,4
2024-01-18 18-59-32,,0,0
2024-01-18 18-59-36,,0,0
2024-01-18 18-59-41,,0,0
2024-01-18 18-59-46,,0,0
2024-01-18 18-59-51,,0,0
2024-01-18 18-59-56,,0,0
2024-01-18 19-00-01,,0,0
2024-01-18 19-00-06,,24,7
2024-01-18 19-00-12,,23,6
2024-01-18 19-00-16,,25,6
2024-01-18 19-00-21,,21,8
2024-01-18 19-00-26,,24,5
2024-01-18 19-00-31,,29,5
