datatime,total_ram(MB),free_ram(MB),package,pid,pid_pss(MB)
2024-01-18 18-54-15,5864.63,573.41,com.yangcong345.android.phone,3883,1563.38
2024-01-18 18-55-10,5864.63,532.65,com.yangcong345.android.phone,3883,1564.92
2024-01-18 18-56-00,5864.63,595.73,com.yangcong345.android.phone,3883,1525.15
2024-01-18 18-56-50,5864.63,604.23,com.yangcong345.android.phone,3883,1530.44
2024-01-18 18-57-40,5864.63,605.2,com.yangcong345.android.phone,3883,1556.71
2024-01-18 18-58-30,5864.63,555.33,com.yangcong345.android.phone,3883,1578.68
2024-01-18 18-59-20,5864.63,573.99,com.yangcong345.android.phone,3883,1546.77
2024-01-18 19-00-10,5864.63,555.18,com.yangcong345.android.phone,3883,1554.2
2024-01-18 19-01-01,5864.63,586.6,com.yangcong345.android.phone,3883,1570.49
2024-01-18 19-01-51,5864.63,609.29,com.yangcong345.android.phone,3883,1562.49
2024-01-18 19-02-41,5864.63,573.32,com.yangcong345.android.phone,3883,1572.11
2024-01-18 19-03-31,5864.63,546.4,com.yangcong345.android.phone,3883,1569.88
2024-01-18 19-04-22,5864.63,574.39,com.yangcong345.android.phone,3883,1609.09
2024-01-18 19-05-13,5864.63,626.68,com.yangcong345.android.phone,3883,1579.16
2024-01-18 19-06-03,5864.63,676.99,com.yangcong345.android.phone,3883,1596.41
2024-01-18 19-06-53,5864.63,660.56,com.yangcong345.android.phone,3883,1620.28
2024-01-18 19-07-43,5864.63,734.74,com.yangcong345.android.phone,3883,1569.1
2024-01-18 19-08-34,5864.63,689.18,com.yangcong345.android.phone,3883,1542.19
2024-01-18 19-09-24,5864.63,725.07,com.yangcong345.android.phone,3883,1538.11
2024-01-18 19-10-14,5864.63,798.37,com.yangcong345.android.phone,3883,1512.04
2024-01-18 19-11-04,5864.63,762.54,com.yangcong345.android.phone,3883,1534.06
2024-01-18 19-11-54,5864.63,726.83,com.yangcong345.android.phone,3883,1571.68
2024-01-18 19-12-44,5864.63,696.14,com.yangcong345.android.phone,3883,1570.54
2024-01-18 19-13-34,5864.63,770.18,com.yangcong345.android.phone,3883,1558.22
2024-01-18 19-14-25,5864.63,789.51,com.yangcong345.android.phone,3883,1566.85
2024-01-18 19-15-15,5864.63,673.91,com.yangcong345.android.phone,3883,1554.89
2024-01-18 19-16-05,5864.63,704.56,com.yangcong345.android.phone,3883,1601.8
2024-01-18 19-16-55,5864.63,704.56,com.yangcong345.android.phone,3883,1599.78
2024-01-18 19-17-45,5864.63,748.92,com.yangcong345.android.phone,3883,1562.78
2024-01-18 19-18-35,5864.63,649.66,com.yangcong345.android.phone,3883,1578.49
2024-01-18 19-19-26,5864.63,749.66,com.yangcong345.android.phone,3883,1577.11
2024-01-18 19-20-16,5864.63,706.09,com.yangcong345.android.phone,3883,1559.26
2024-01-18 19-21-06,5864.63,746.34,com.yangcong345.android.phone,3883,1570.5
