datatime,package,pid,pss,java_heap,native_heap,system
2024-01-18 18-54-15,com.yangcong345.android.phone,3883,1905.06,45.66,1159.05,530.51
2024-01-18 18-54-30,com.yangcong345.android.phone,3883,1982.22,71.09,1140.58,553.47
2024-01-18 18-54-35,com.yangcong345.android.phone,3883,1953.89,44.18,1140.6,553.53
2024-01-18 18-54-40,com.yangcong345.android.phone,3883,1949.25,47.29,1148.33,553.54
2024-01-18 18-54-45,com.yangcong345.android.phone,3883,1936.78,44.83,1120.32,573.76
2024-01-18 18-54-50,com.yangcong345.android.phone,3883,1937.55,47.7,1120.21,573.87
2024-01-18 18-54-55,com.yangcong345.android.phone,3883,1963.46,73.46,1120.37,573.88
2024-01-18 18-55-00,com.yangcong345.android.phone,3883,1954.14,44.68,1118.12,573.92
2024-01-18 18-55-05,com.yangcong345.android.phone,3883,1972.27,55.69,1125.36,573.92
2024-01-18 18-55-10,com.yangcong345.android.phone,3883,1965.0,49.05,1124.61,573.92
2024-01-18 18-55-15,com.yangcong345.android.phone,3883,1937.32,46.5,1119.6,586.94
2024-01-18 18-55-20,com.yangcong345.android.phone,3883,1940.76,44.93,1119.11,586.98
2024-01-18 18-55-25,com.yangcong345.android.phone,3883,1956.19,51.81,1125.59,586.99
2024-01-18 18-55-30,com.yangcong345.android.phone,3883,1949.27,45.84,1123.73,587.94
2024-01-18 18-55-35,com.yangcong345.android.phone,3883,1945.88,44.8,1115.36,588.13
2024-01-18 18-55-40,com.yangcong345.android.phone,3883,1946.23,58.85,1109.95,593.56
2024-01-18 18-55-45,com.yangcong345.android.phone,3883,1939.56,45.2,1109.87,593.56
2024-01-18 18-55-50,com.yangcong345.android.phone,3883,1962.07,64.09,1117.11,594.3
2024-01-18 18-55-55,com.yangcong345.android.phone,3883,1932.14,44.82,1109.15,594.29
2024-01-18 18-56-00,com.yangcong345.android.phone,3883,1939.05,44.82,1109.7,594.3
2024-01-18 18-56-05,com.yangcong345.android.phone,3883,1932.22,44.82,1109.32,594.3
2024-01-18 18-56-10,com.yangcong345.android.phone,3883,1971.44,76.67,1109.43,594.3
2024-01-18 18-56-15,com.yangcong345.android.phone,3883,1939.71,45.07,1109.37,594.3
2024-01-18 18-56-20,com.yangcong345.android.phone,3883,1953.42,48.34,1123.52,594.29
2024-01-18 18-56-25,com.yangcong345.android.phone,3883,1945.82,44.86,1115.73,594.3
2024-01-18 18-56-30,com.yangcong345.android.phone,3883,1945.4,44.85,1115.66,594.29
2024-01-18 18-56-35,com.yangcong345.android.phone,3883,1953.61,44.81,1123.55,594.29
2024-01-18 18-56-40,com.yangcong345.android.phone,3883,1960.07,48.53,1130.2,594.37
2024-01-18 18-56-45,com.yangcong345.android.phone,3883,1956.29,48.62,1120.16,596.51
2024-01-18 18-56-50,com.yangcong345.android.phone,3883,1952.29,44.7,1120.07,596.54
2024-01-18 18-56-55,com.yangcong345.android.phone,3883,1952.29,44.92,1120.06,596.53
2024-01-18 18-57-00,com.yangcong345.android.phone,3883,1951.76,44.91,1120.0,596.54
2024-01-18 18-57-05,com.yangcong345.android.phone,3883,1966.16,44.75,1127.94,596.56
2024-01-18 18-57-10,com.yangcong345.android.phone,3883,1966.48,45.1,1123.66,600.02
