datatime,packagename,pid,thread_num
2024-01-18 18-54-15,com.yangcong345.android.phone,3883,170
2024-01-18 18-54-20,com.yangcong345.android.phone,3883,173
2024-01-18 18-54-25,com.yangcong345.android.phone,3883,181
2024-01-18 18-54-30,com.yangcong345.android.phone,3883,180
2024-01-18 18-54-35,com.yangcong345.android.phone,3883,180
2024-01-18 18-54-40,com.yangcong345.android.phone,3883,181
2024-01-18 18-54-45,com.yangcong345.android.phone,3883,181
2024-01-18 18-54-50,com.yangcong345.android.phone,3883,180
2024-01-18 18-54-55,com.yangcong345.android.phone,3883,180
2024-01-18 18-55-00,com.yangcong345.android.phone,3883,180
2024-01-18 18-55-05,com.yangcong345.android.phone,3883,180
2024-01-18 18-55-10,com.yangcong345.android.phone,3883,180
2024-01-18 18-55-15,com.yangcong345.android.phone,3883,182
2024-01-18 18-55-20,com.yangcong345.android.phone,3883,182
2024-01-18 18-55-25,com.yangcong345.android.phone,3883,182
2024-01-18 18-55-31,com.yangcong345.android.phone,3883,183
2024-01-18 18-55-35,com.yangcong345.android.phone,3883,183
2024-01-18 18-55-40,com.yangcong345.android.phone,3883,182
2024-01-18 18-55-45,com.yangcong345.android.phone,3883,180
2024-01-18 18-55-51,com.yangcong345.android.phone,3883,180
2024-01-18 18-55-55,com.yangcong345.android.phone,3883,180
2024-01-18 18-56-00,com.yangcong345.android.phone,3883,183
2024-01-18 18-56-05,com.yangcong345.android.phone,3883,183
2024-01-18 18-56-11,com.yangcong345.android.phone,3883,183
2024-01-18 18-56-16,com.yangcong345.android.phone,3883,183
2024-01-18 18-56-21,com.yangcong345.android.phone,3883,182
2024-01-18 18-56-26,com.yangcong345.android.phone,3883,182
2024-01-18 18-56-30,com.yangcong345.android.phone,3883,182
2024-01-18 18-56-35,com.yangcong345.android.phone,3883,182
2024-01-18 18-56-41,com.yangcong345.android.phone,3883,183
2024-01-18 18-56-46,com.yangcong345.android.phone,3883,183
2024-01-18 18-56-51,com.yangcong345.android.phone,3883,182
2024-01-18 18-56-56,com.yangcong345.android.phone,3883,182
2024-01-18 18-57-00,com.yangcong345.android.phone,3883,180
2024-01-18 18-57-06,com.yangcong345.android.phone,3883,180
2024-01-18 18-57-11,com.yangcong345.android.phone,3883,182
2024-01-18 18-57-16,com.yangcong345.android.phone,3883,182
2024-01-18 18-57-21,com.yangcong345.android.phone,3883,181
2024-01-18 18-57-26,com.yangcong345.android.phone,3883,173
2024-01-18 18-57-31,com.yangcong345.android.phone,3883,172
2024-01-18 18-57-36,com.yangcong345.android.phone,3883,181
2024-01-18 18-57-41,com.yangcong345.android.phone,3883,182
2024-01-18 18-57-46,com.yangcong345.android.phone,3883,182
