2024-04-18 11-10-46 top info:
Tasks: 477 total,   2 running, 474 sleeping,   0 stopped,   1 zombie
  Mem:  6005384K total,  5034976K used,   970408K free,  95436800 buffers
 Swap:  3302956K total,   375064K used,  2927892K free,  3306544K cached
800%cpu 217%user   0%nice 130%sys 447%idle   3%iow   0%irq   3%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 17048 shell        20   0  81M  19M  17M R 96.6   0.3   0:00.06 app_process /system/bin com.android.commands.monkey.Monkey -p com.yangcong345.android.phone -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
  8006 u0_a76       16  -4  64G 337M 184M S 70.0   5.7  27:57.02 com.yangcong345.android.phone
   901 system       18  -2  17G 283M 238M S 33.3   4.8   5:38.01 system_server
  9247 u0_a89       10 -10  16G 343M 166M S 26.6   5.8   6:11.19 com.yangcong345.cloud.ui.launcher
 16601 shell        20   0  11G 7.2M 5.0M S 20.0   0.1   0:01.37 adbd --root_seclabel=u:r:su:s0
 17046 shell        20   0  10G 4.4M 3.3M R 10.0   0.0   0:00.08 top -b -n 1 -d 5
  2854 root         10 -10    0    0    0 S  6.6   0.0   1:40.72 [hif_thread]
  2853 root         10 -10    0    0    0 S  6.6   0.0   0:53.50 [tx_thread]
 16914 root         20   0    0    0    0 I  3.3   0.0   0:00.40 [kworker/u16:10]
  5720 u0_a125      20   0  13G 105M  83M S  3.3   1.7   2:38.48 com.yangcong345.eye.protection
  2855 root         10 -10    0    0    0 S  3.3   0.0   1:09.02 [rx_thread]
   758 root         20   0    0    0    0 S  3.3   0.0   0:00.18 [mtk_stp_psm]
   747 system       20   0  10G 5.3M 4.6M S  3.3   0.0   0:34.85 android.hardware.sensors@2.0-service-mediatek
   268 root          0 -20    0    0    0 S  3.3   0.0   0:07.29 [krtatm]
 16961 root         20   0    0    0    0 I  0.0   0.0   0:00.47 [kworker/0:3]
 16934 root          0 -20    0    0    0 I  0.0   0.0   0:00.13 [kworker/u17:1]
 16913 root         20   0    0    0    0 I  0.0   0.0   0:00.50 [kworker/u16:7]
 16912 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/u16:5]
 16910 root         20   0    0    0    0 I  0.0   0.0   0:00.08 [kworker/3:1]
 16908 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:0]
 16902 root         20   0    0    0    0 I  0.0   0.0   0:00.09 [kworker/2:1]
 16901 root         20   0    0    0    0 I  0.0   0.0   0:00.31 [kworker/7:2]
 16890 root         20   0    0    0    0 I  0.0   0.0   0:00.49 [kworker/1:0]
