2024-03-28 11-48-02 top info:
Tasks: 490 total,   3 running, 487 sleeping,   0 stopped,   0 zombie
  Mem:  6005384K total,  5829604K used,   175780K free,  99581952 buffers
 Swap:  3302956K total,  1408200K used,  1894756K free,  3196704K cached
800%cpu 200%user  34%nice 248%sys 314%idle   3%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
   970 system       18  -2  17G 280M 225M S 75.8   4.7 137:58.18 system_server
 10589 u0_a90       20   0  14G  99M  89M S 62.0   1.6   0:19.51 com.qihoo360.mobilesafe:p0
 25965 shell        20   0  10G 6.6M 4.7M R 55.1   0.1   0:00.77 adbd --root_seclabel=u:r:su:s0
  4358 system       20   0  14G 168M 148M S 24.1   2.8  53:33.87 com.android.settings
 11853 shell        20   0  10G 4.5M 3.4M R 17.2   0.0   0:00.05 top -b -n 1 -d 5
  9593 root         20   0    0    0    0 R  6.8   0.0   0:02.92 [kworker/u16:1]
 11450 root         20   0    0    0    0 I  3.4   0.0   0:04.14 [kworker/0:0]
  9515 root         20   0    0    0    0 I  3.4   0.0   0:02.85 [kworker/u16:3]
 26967 logd         18  -2  10G 8.2M 3.4M S  3.4   0.1   7:59.03 logd
   777 system       20   0  10G 5.3M 4.9M S  3.4   0.0  56:27.78 android.hardware.sensors@2.0-service-mediatek
   295 root         20   0    0    0    0 D  3.4   0.0   2:22.17 [ipi_cpu_dvfs_rt]
   260 root         RT   0    0    0    0 S  3.4   0.0   0:51.71 [present_fence_w]
   252 root         20   0    0    0    0 S  3.4   0.0   0:30.59 [disp_idlemgr]
    45 root         20   0    0    0    0 S  3.4   0.0   0:00.37 [ksoftirqd/7]
    35 root         20   0    0    0    0 S  3.4   0.0   0:00.89 [ksoftirqd/5]
 11727 u0_a90       20   0  14G 132M  84M S  0.0   2.2   0:05.87 com.qihoo360.mobilesafe:scan
 11704 u0_a50       20   0  13G  73M  53M S  0.0   1.2   0:00.17 com.android.packageinstaller
 11625 root         20   0    0    0    0 I  0.0   0.0   0:01.38 [kworker/0:2]
