datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-06-06 17-35-04,0.0,0.0,0.0,com.yangcong345.android.phone,6389,0.0,0.0,0.0
2024-06-06 17-35-09,179.07,160.3,18.76,com.yangcong345.android.phone,6389,160.3,18.76,179.07
2024-06-06 17-35-14,212.37,179.7,32.67,com.yangcong345.android.phone,6389,180.83,35.3,216.12
2024-06-06 17-35-19,271.94,229.37,42.58,com.yangcong345.android.phone,6389,229.37,42.58,271.94
2024-06-06 17-35-24,289.01,239.19,49.82,com.yangcong345.android.phone,6389,239.19,49.82,289.01
2024-06-06 17-35-29,306.25,245.25,60.99,com.yangcong345.android.phone,6389,245.32,61.06,306.37
2024-06-06 17-35-34,306.83,245.72,61.11,com.yangcong345.android.phone,6389,245.72,61.11,306.83
2024-06-06 17-35-39,307.14,245.98,61.16,com.yangcong345.android.phone,6389,245.98,61.16,307.14
2024-06-06 17-35-44,375.82,310.35,65.47,com.yangcong345.android.phone,6389,310.35,65.67,376.02
2024-06-06 17-35-49,790.19,659.17,131.03,com.yangcong345.android.phone,6389,659.8,131.8,791.6
2024-06-06 17-35-54,1408.74,1199.91,208.83,com.yangcong345.android.phone,6389,1200.01,208.83,1408.84
2024-06-06 17-35-59,1870.23,1624.97,245.26,com.yangcong345.android.phone,6389,1624.97,245.26,1870.23
2024-06-06 17-36-04,2141.1,1821.67,319.43,com.yangcong345.android.phone,6389,1821.73,319.5,2141.23
2024-06-06 17-36-09,3044.08,2656.9,387.18,com.yangcong345.android.phone,6389,2657.52,387.31,3044.82
2024-06-06 17-36-14,3120.12,2723.42,396.7,com.yangcong345.android.phone,6389,2723.42,396.7,3120.12
2024-06-06 17-36-19,6658.65,6163.09,495.55,com.yangcong345.android.phone,6389,6163.09,495.6,6658.7
2024-06-06 17-36-24,6675.78,6173.02,502.75,com.yangcong345.android.phone,6389,6173.02,502.75,6675.78
2024-06-06 17-36-29,7261.74,6730.56,531.18,com.yangcong345.android.phone,6389,6734.77,532.13,7266.9
2024-06-06 17-36-34,8063.58,7459.54,604.04,com.yangcong345.android.phone,6389,7459.6,604.04,8063.64
2024-06-06 17-36-39,8150.8,7517.95,632.85,com.yangcong345.android.phone,6389,7517.95,632.85,8150.8
2024-06-06 17-36-44,8540.72,7811.96,728.76,com.yangcong345.android.phone,6389,7811.96,728.76,8540.72
2024-06-06 17-36-49,8554.31,7818.71,735.6,com.yangcong345.android.phone,6389,7818.71,735.6,8554.31
2024-06-06 17-36-54,8561.66,7822.2,739.46,com.yangcong345.android.phone,6389,7822.2,739.52,8561.72
2024-06-06 17-36-59,8579.05,7833.54,745.51,com.yangcong345.android.phone,6389,7833.54,745.51,8579.05
2024-06-06 17-37-04,8593.0,7842.57,750.42,com.yangcong345.android.phone,6389,7843.17,750.42,8593.59
2024-06-06 17-37-09,8599.06,7846.46,752.6,com.yangcong345.android.phone,6389,7846.46,752.6,8599.06
2024-06-06 17-37-14,8602.22,7848.24,753.98,com.yangcong345.android.phone,6389,7849.0,754.51,8603.51
2024-06-06 17-37-19,9688.49,8856.13,832.36,com.yangcong345.android.phone,6389,8870.19,837.84,9708.02
2024-06-06 17-37-24,9808.05,8953.04,855.01,com.yangcong345.android.phone,6389,8953.04,855.07,9808.1
2024-06-06 17-37-29,10169.04,9286.89,882.15,com.yangcong345.android.phone,6389,9288.05,882.76,10170.81
2024-06-06 17-37-34,10185.24,9294.86,890.38,com.yangcong345.android.phone,6389,9294.9,890.38,10185.28
2024-06-06 17-37-39,10193.54,9299.06,894.48,com.yangcong345.android.phone,6389,9299.06,894.48,10193.54
2024-06-06 17-37-44,10240.76,9339.92,900.84,com.yangcong345.android.phone,6389,9339.98,900.91,10240.89
2024-06-06 17-37-49,10431.24,9511.47,919.77,com.yangcong345.android.phone,6389,9511.47,919.77,10431.24
2024-06-06 17-37-54,10432.08,9511.83,920.24,com.yangcong345.android.phone,6389,9511.83,920.24,10432.08
2024-06-06 17-37-59,10440.62,9514.0,926.62,com.yangcong345.android.phone,6389,9514.0,926.62,10440.62
2024-06-06 17-38-04,10671.2,9734.12,937.08,com.yangcong345.android.phone,6389,9734.12,937.08,10671.2
2024-06-06 17-38-09,10671.69,9734.47,937.22,com.yangcong345.android.phone,6389,9734.47,937.22,10671.69
2024-06-06 17-38-14,10688.0,9744.07,943.93,com.yangcong345.android.phone,6389,9744.07,943.93,10688.0
2024-06-06 17-38-19,10689.66,9744.56,945.1,com.yangcong345.android.phone,6389,9744.56,945.1,10689.66
2024-06-06 17-38-24,10691.39,9745.18,946.21,com.yangcong345.android.phone,6389,9745.18,946.21,10691.39
2024-06-06 17-38-29,10716.63,9761.7,954.93,com.yangcong345.android.phone,6389,9766.09,956.15,10722.24
2024-06-06 17-38-34,10723.91,9767.38,956.53,com.yangcong345.android.phone,6389,9767.38,956.53,10723.91
2024-06-06 17-38-39,10724.44,9767.72,956.72,com.yangcong345.android.phone,6389,9767.72,956.72,10724.44
2024-06-06 17-38-44,10727.56,9769.43,958.13,com.yangcong345.android.phone,6389,9769.43,958.13,10727.56
2024-06-06 17-38-49,10728.06,9769.77,958.29,com.yangcong345.android.phone,6389,9769.77,958.29,10728.06
2024-06-06 17-38-54,10728.63,9770.19,958.44,com.yangcong345.android.phone,6389,9770.19,958.44,10728.63
2024-06-06 17-38-59,10729.33,9770.75,958.57,com.yangcong345.android.phone,6389,9770.75,958.57,10729.33
2024-06-06 17-39-04,10729.95,9771.23,958.72,com.yangcong345.android.phone,6389,9771.27,958.72,10729.99
2024-06-06 17-39-09,10730.24,9771.42,958.83,com.yangcong345.android.phone,6389,9771.42,958.83,10730.24
2024-06-06 17-39-14,10730.73,9771.73,959.0,com.yangcong345.android.phone,6389,9771.73,959.0,10730.73
2024-06-06 17-39-19,10732.15,9772.61,959.54,com.yangcong345.android.phone,6389,9772.61,959.54,10732.15
2024-06-06 17-39-24,10732.36,9772.71,959.65,com.yangcong345.android.phone,6389,9772.71,959.65,10732.36
2024-06-06 17-39-29,10732.79,9773.02,959.77,com.yangcong345.android.phone,6389,9773.02,959.77,10732.79
2024-06-06 17-39-34,10733.23,9773.46,959.77,com.yangcong345.android.phone,6389,9773.46,959.77,10733.23
2024-06-06 17-39-39,10733.62,9773.74,959.88,com.yangcong345.android.phone,6389,9773.74,959.88,10733.62
2024-06-06 17-39-44,10734.95,9774.53,960.42,com.yangcong345.android.phone,6389,9774.53,960.42,10734.95
2024-06-06 17-39-49,10734.95,9774.53,960.42,com.yangcong345.android.phone,6389,9774.53,960.42,10734.95
2024-06-06 17-39-54,10735.31,9774.78,960.53,com.yangcong345.android.phone,6389,9774.78,960.53,10735.31
2024-06-06 17-39-59,10736.14,9775.34,960.8,com.yangcong345.android.phone,6389,9775.34,960.8,10736.14
2024-06-06 17-40-04,10736.81,9775.78,961.04,com.yangcong345.android.phone,6389,9775.82,961.08,10736.89
2024-06-06 17-40-09,10737.1,9775.92,961.18,com.yangcong345.android.phone,6389,9775.92,961.18,10737.1
2024-06-06 17-40-14,10739.0,9777.09,961.91,com.yangcong345.android.phone,6389,9777.15,961.97,10739.12
2024-06-06 17-40-19,11086.55,10060.05,1026.5,com.yangcong345.android.phone,6389,10060.22,1026.6,11086.83
2024-06-06 17-40-24,11181.72,10136.63,1045.08,com.yangcong345.android.phone,6389,10136.63,1045.08,11181.72
2024-06-06 17-40-29,11200.45,10147.08,1053.36,com.yangcong345.android.phone,6389,10147.08,1053.36,11200.45
2024-06-06 17-40-34,11233.17,10167.13,1066.04,com.yangcong345.android.phone,6389,10167.13,1066.04,11233.17
2024-06-06 17-40-39,11235.57,10168.21,1067.36,com.yangcong345.android.phone,6389,10168.26,1067.36,11235.62
2024-06-06 17-40-44,11249.65,10177.87,1071.78,com.yangcong345.android.phone,6389,10177.87,1071.78,11249.65
2024-06-06 17-40-49,11308.04,10219.45,1088.58,com.yangcong345.android.phone,6389,10219.45,1088.58,11308.04
2024-06-06 17-40-54,11327.84,10226.75,1101.09,com.yangcong345.android.phone,6389,10226.75,1101.09,11327.84
2024-06-06 17-40-59,11331.94,10229.1,1102.84,com.yangcong345.android.phone,6389,10229.1,1102.84,11331.94
2024-06-06 17-41-04,11343.8,10235.55,1108.25,com.yangcong345.android.phone,6389,10235.55,1108.25,11343.8
2024-06-06 17-41-09,11345.58,10236.12,1109.46,com.yangcong345.android.phone,6389,10236.12,1109.46,11345.58
2024-06-06 17-41-14,11364.7,10250.98,1113.72,com.yangcong345.android.phone,6389,10250.98,1113.94,11364.92
2024-06-06 17-41-19,11508.03,10349.58,1158.45,com.yangcong345.android.phone,6389,10351.17,1158.65,11509.82
2024-06-06 17-41-24,11524.14,10358.06,1166.08,com.yangcong345.android.phone,6389,10358.06,1166.08,11524.14
2024-06-06 17-41-29,11744.27,10560.5,1183.78,com.yangcong345.android.phone,6389,10560.5,1183.78,11744.27
2024-06-06 17-41-34,11747.49,10563.6,1183.89,com.yangcong345.android.phone,6389,10563.6,1183.89,11747.49
2024-06-06 17-41-39,11842.64,10648.38,1194.26,com.yangcong345.android.phone,6389,10648.38,1194.26,11842.64
2024-06-06 17-41-44,11851.41,10654.67,1196.75,com.yangcong345.android.phone,6389,10654.67,1196.75,11851.41
2024-06-06 17-41-49,11885.46,10684.4,1201.06,com.yangcong345.android.phone,6389,10684.4,1201.2,11885.6
2024-06-06 17-41-54,11900.51,10689.23,1211.29,com.yangcong345.android.phone,6389,10689.23,1211.34,11900.57
2024-06-06 17-41-59,11910.59,10691.67,1218.92,com.yangcong345.android.phone,6389,10691.67,1218.97,11910.64
2024-06-06 17-42-04,11912.2,10691.96,1220.23,com.yangcong345.android.phone,6389,10691.96,1220.23,11912.2
2024-06-06 17-42-09,11913.35,10691.96,1221.39,com.yangcong345.android.phone,6389,10691.96,1221.39,11913.35
2024-06-06 17-42-14,11914.4,10692.49,1221.91,com.yangcong345.android.phone,6389,10692.49,1221.91,11914.4
2024-06-06 17-42-19,11915.34,10692.81,1222.53,com.yangcong345.android.phone,6389,10692.81,1222.53,11915.34
2024-06-06 17-42-24,11916.62,10693.1,1223.51,com.yangcong345.android.phone,6389,10693.1,1223.51,11916.62
2024-06-06 17-42-29,11938.36,10708.57,1229.79,com.yangcong345.android.phone,6389,10708.57,1230.46,11939.03
2024-06-06 17-42-34,11949.64,10715.39,1234.25,com.yangcong345.android.phone,6389,10715.39,1234.25,11949.64
2024-06-06 17-42-39,11949.7,10715.39,1234.3,com.yangcong345.android.phone,6389,10715.39,1234.3,11949.7
2024-06-06 17-42-44,11951.63,10715.97,1235.66,com.yangcong345.android.phone,6389,10716.63,1235.72,11952.35
2024-06-06 17-42-49,11952.88,10716.86,1236.02,com.yangcong345.android.phone,6389,10716.86,1236.02,11952.88
2024-06-06 17-42-54,11961.89,10720.19,1241.7,com.yangcong345.android.phone,6389,10720.19,1241.7,11961.89
2024-06-06 17-42-59,11963.74,10720.89,1242.85,com.yangcong345.android.phone,6389,10720.89,1242.85,11963.74
2024-06-06 17-43-04,11965.35,10721.59,1243.75,com.yangcong345.android.phone,6389,10721.59,1243.75,11965.35
2024-06-06 17-43-09,11998.7,10740.87,1257.83,com.yangcong345.android.phone,6389,10740.87,1257.83,11998.7
2024-06-06 17-43-14,12019.0,10748.42,1270.58,com.yangcong345.android.phone,6389,10748.42,1271.02,12019.44
2024-06-06 17-43-19,12032.73,10754.87,1277.86,com.yangcong345.android.phone,6389,10754.87,1277.86,12032.73
2024-06-06 17-43-24,12034.52,10755.47,1279.05,com.yangcong345.android.phone,6389,10755.47,1279.05,12034.52
2024-06-06 17-43-29,12044.82,10763.6,1281.22,com.yangcong345.android.phone,6389,10763.66,1281.29,12044.95
2024-06-06 17-43-34,12045.93,10764.1,1281.83,com.yangcong345.android.phone,6389,10764.1,1281.83,12045.93
2024-06-06 17-43-39,12056.39,10771.43,1284.96,com.yangcong345.android.phone,6389,10771.43,1284.96,12056.39
2024-06-06 17-43-44,12062.51,10773.02,1289.49,com.yangcong345.android.phone,6389,10773.66,1289.89,12063.55
2024-06-06 17-43-49,12064.44,10774.2,1290.24,com.yangcong345.android.phone,6389,10774.2,1290.24,12064.44
2024-06-06 17-43-54,12065.0,10774.63,1290.37,com.yangcong345.android.phone,6389,10774.63,1290.37,12065.0
2024-06-06 17-43-59,12065.64,10774.99,1290.65,com.yangcong345.android.phone,6389,10774.99,1290.8,12065.79
2024-06-06 17-44-04,12066.42,10775.32,1291.1,com.yangcong345.android.phone,6389,10775.32,1291.1,12066.42
2024-06-06 17-44-09,12066.97,10775.54,1291.43,com.yangcong345.android.phone,6389,10775.54,1291.43,12066.97
2024-06-06 17-44-14,12148.97,10849.73,1299.24,com.yangcong345.android.phone,6389,10849.73,1299.24,12148.97
2024-06-06 17-44-19,12178.91,10863.58,1315.32,com.yangcong345.android.phone,6389,10863.58,1315.32,12178.91
2024-06-06 17-44-24,12191.24,10869.68,1321.56,com.yangcong345.android.phone,6389,10869.68,1321.56,12191.24
2024-06-06 17-44-29,12209.18,10881.74,1327.44,com.yangcong345.android.phone,6389,10881.74,1327.44,12209.18
2024-06-06 17-44-34,12714.18,11340.51,1373.67,com.yangcong345.android.phone,6389,11340.51,1373.67,12714.18
