datetime,activity window,fps,jank
2024-06-06 17-35-08,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,38,0
2024-06-06 17-35-10,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,15,0
2024-06-06 17-35-16,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,30,0
2024-06-06 17-35-18,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,44,0
2024-06-06 17-35-22,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,16,1
2024-06-06 17-35-26,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-35-28,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-35-32,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-35-34,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-35-36,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-35-40,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,51,0
2024-06-06 17-35-42,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-35-44,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,35,0
2024-06-06 17-35-46,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,59,0
2024-06-06 17-35-50,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,24,0
2024-06-06 17-35-52,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,25,3
2024-06-06 17-35-54,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,29,0
2024-06-06 17-35-56,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,38,0
2024-06-06 17-35-58,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-36-00,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,46,0
2024-06-06 17-36-02,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,30,0
2024-06-06 17-36-04,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,20,1
2024-06-06 17-36-06,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,32,0
2024-06-06 17-36-08,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,27,0
2024-06-06 17-36-10,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,24,3
2024-06-06 17-36-12,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,49,1
2024-06-06 17-36-16,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,26,1
2024-06-06 17-36-18,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,39,0
2024-06-06 17-36-20,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.video.business.player.HorizontalVideoActivity,42,0
2024-06-06 17-36-22,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,39,0
2024-06-06 17-36-24,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,29,0
2024-06-06 17-36-28,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,58,0
2024-06-06 17-36-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,18,0
2024-06-06 17-36-38,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,18,1
2024-06-06 17-36-40,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,30,0
2024-06-06 17-36-42,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,25,0
2024-06-06 17-36-44,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,20,1
2024-06-06 17-36-46,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-36-48,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-36-52,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-36-54,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,58,0
2024-06-06 17-36-57,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-36-58,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,19,1
2024-06-06 17-37-03,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,30,0
2024-06-06 17-37-11,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,17,0
2024-06-06 17-37-13,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-37-14,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.padmodule.home.main.PadHomeActivity,60,0
2024-06-06 17-37-16,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,24,1
2024-06-06 17-37-18,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,33,0
2024-06-06 17-37-21,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,25,2
2024-06-06 17-37-22,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,29,0
2024-06-06 17-37-25,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,44,1
2024-06-06 17-37-27,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-37-28,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,57,0
2024-06-06 17-37-30,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,55,0
2024-06-06 17-37-32,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
2024-06-06 17-37-35,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,52,0
2024-06-06 17-37-37,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,57,0
2024-06-06 17-37-39,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,54,0
2024-06-06 17-37-41,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,46,0
2024-06-06 17-37-42,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,58,0
2024-06-06 17-37-45,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,56,0
2024-06-06 17-37-47,com.yangcong345.android.phone/com.yangcong345.android.phone/com.yangcong345.webpage.container.WebHorizontalActivity,60,0
