datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-06-06 18-28-20,496,196,300,300,com.yangcong345.android.phone,6942,28.5
2024-06-06 18-28-25,410,224,186,376,com.yangcong345.android.phone,6942,141
2024-06-06 18-28-30,435,214,221,364,com.yangcong345.android.phone,6942,164
2024-06-06 18-28-35,467,180,287,327,com.yangcong345.android.phone,6942,246
2024-06-06 18-28-40,334,182,152,461,com.yangcong345.android.phone,6942,184
2024-06-06 18-28-45,475,204,271,307,com.yangcong345.android.phone,6942,142
2024-06-06 18-28-50,336,150,186,464,com.yangcong345.android.phone,6942,142
2024-06-06 18-28-55,462,210,252,338,com.yangcong345.android.phone,6942,182
2024-06-06 18-29-00,460,193,267,337,com.yangcong345.android.phone,6942,243
2024-06-06 18-29-05,487,250,237,313,com.yangcong345.android.phone,6942,180
2024-06-06 18-29-10,493,306,187,303,com.yangcong345.android.phone,6942,161
2024-06-06 18-29-15,610,293,317,187,com.yangcong345.android.phone,6942,173
2024-06-06 18-29-20,246,107,139,554,com.yangcong345.android.phone,6942,100
2024-06-06 18-29-25,293,129,164,500,com.yangcong345.android.phone,6942,100
2024-06-06 18-29-30,472,238,234,266,com.yangcong345.android.phone,6942,106
2024-06-06 18-29-35,733,363,370,3,com.yangcong345.android.phone,6942,183
2024-06-06 18-29-40,328,139,189,468,com.yangcong345.android.phone,6942,107
2024-06-06 18-29-45,371,164,207,421,com.yangcong345.android.phone,6942,107
2024-06-06 18-29-50,572,338,234,144,com.yangcong345.android.phone,6942,87.5
2024-06-06 18-29-55,336,132,204,461,com.yangcong345.android.phone,6942,103
2024-06-06 18-30-00,528,297,231,151,com.yangcong345.android.phone,6942,120
2024-06-06 18-30-05,730,413,317,27,com.yangcong345.android.phone,6942,153
2024-06-06 18-30-10,674,384,290,81,com.yangcong345.android.phone,6942,161
2024-06-06 18-30-15,474,245,229,323,com.yangcong345.android.phone,6942,116
2024-06-06 18-30-20,271,121,150,521,com.yangcong345.android.phone,6942,100
2024-06-06 18-30-25,500,217,283,297,com.yangcong345.android.phone,6942,150
2024-06-06 18-30-30,297,114,183,500,com.yangcong345.android.phone,6942,113
2024-06-06 18-30-35,334,124,210,466,com.yangcong345.android.phone,6942,106
2024-06-06 18-30-40,282,121,161,518,com.yangcong345.android.phone,6942,110
2024-06-06 18-30-45,310,124,186,490,com.yangcong345.android.phone,6942,103
2024-06-06 18-30-50,361,154,207,439,com.yangcong345.android.phone,6942,114
2024-06-06 18-30-55,445,179,266,355,com.yangcong345.android.phone,6942,103
2024-06-06 18-31-00,425,167,258,376,com.yangcong345.android.phone,6942,224
2024-06-06 18-31-05,469,203,266,331,com.yangcong345.android.phone,6942,165
2024-06-06 18-31-10,514,231,283,283,com.yangcong345.android.phone,6942,206
2024-06-06 18-31-15,346,146,200,454,com.yangcong345.android.phone,6942,121
2024-06-06 18-31-20,648,369,279,117,com.yangcong345.android.phone,6942,148
2024-06-06 18-31-25,526,263,263,270,com.yangcong345.android.phone,6942,100
2024-06-06 18-31-30,293,125,168,507,com.yangcong345.android.phone,6942,96.4
2024-06-06 18-31-35,320,137,183,470,com.yangcong345.android.phone,6942,103
2024-06-06 18-31-40,443,220,223,320,com.yangcong345.android.phone,6942,123
2024-06-06 18-31-45,566,290,276,183,com.yangcong345.android.phone,6942,117
2024-06-06 18-31-50,433,200,233,367,com.yangcong345.android.phone,6942,166
2024-06-06 18-31-55,314,145,169,483,com.yangcong345.android.phone,6942,120
2024-06-06 18-32-00,454,229,225,343,com.yangcong345.android.phone,6942,210
2024-06-06 18-32-05,320,193,127,473,com.yangcong345.android.phone,6942,146
2024-06-06 18-32-10,564,306,258,122,com.yangcong345.android.phone,6942,133
2024-06-06 18-32-15,664,377,287,7,com.yangcong345.android.phone,6942,126
2024-06-06 18-32-20,317,134,183,476,com.yangcong345.android.phone,6942,127
2024-06-06 18-32-25,519,258,261,277,com.yangcong345.android.phone,6942,264
2024-06-06 18-32-30,347,161,186,454,com.yangcong345.android.phone,6942,150
2024-06-06 18-32-35,445,221,224,355,com.yangcong345.android.phone,6942,168
2024-06-06 18-32-40,450,220,230,350,com.yangcong345.android.phone,6942,190
2024-06-06 18-32-45,494,247,247,303,com.yangcong345.android.phone,6942,186
2024-06-06 18-32-50,364,175,189,432,com.yangcong345.android.phone,6942,153
2024-06-06 18-32-55,372,217,155,417,com.yangcong345.android.phone,6942,127
2024-06-06 18-33-00,358,179,179,429,com.yangcong345.android.phone,6942,153
2024-06-06 18-33-05,473,252,221,328,com.yangcong345.android.phone,6942,162
2024-06-06 18-33-10,350,168,182,446,com.yangcong345.android.phone,6942,125
2024-06-06 18-33-15,318,168,150,482,com.yangcong345.android.phone,6942,139
2024-06-06 18-33-20,338,159,179,459,com.yangcong345.android.phone,6942,141
2024-06-06 18-33-25,404,190,214,397,com.yangcong345.android.phone,6942,127
2024-06-06 18-33-30,417,200,217,380,com.yangcong345.android.phone,6942,193
2024-06-06 18-33-35,393,200,193,396,com.yangcong345.android.phone,6942,203
2024-06-06 18-33-40,353,157,196,443,com.yangcong345.android.phone,6942,150
2024-06-06 18-33-45,507,224,283,286,com.yangcong345.android.phone,6942,151
2024-06-06 18-33-50,460,227,233,337,com.yangcong345.android.phone,6942,196
2024-06-06 18-33-55,296,146,150,504,com.yangcong345.android.phone,6942,132
2024-06-06 18-34-00,603,303,300,138,com.yangcong345.android.phone,6942,193
2024-06-06 18-34-05,430,239,191,367,com.yangcong345.android.phone,6942,184
2024-06-06 18-34-10,613,353,260,87,com.yangcong345.android.phone,6942,123
2024-06-06 18-34-15,314,138,176,483,com.yangcong345.android.phone,6942,93.1
2024-06-06 18-34-20,648,338,310,45,com.yangcong345.android.phone,6942,96.5
2024-06-06 18-34-25,267,121,146,529,com.yangcong345.android.phone,6942,110
2024-06-06 18-34-30,373,193,180,423,com.yangcong345.android.phone,6942,140
2024-06-06 18-34-35,603,343,260,147,com.yangcong345.android.phone,6942,150
2024-06-06 18-34-40,453,223,230,347,com.yangcong345.android.phone,6942,190
