datatime,total_ram(MB),free_ram(MB),package,pid,pid_pss(MB)
2024-06-06 18-28-20,5936.54,3354.51,com.yangcong345.android.phone,6942,421.46
2024-06-06 18-29-14,5936.54,3158.26,com.yangcong345.android.phone,6942,468.72
2024-06-06 18-30-04,5936.54,3122.53,com.yangcong345.android.phone,6942,478.11
2024-06-06 18-30-54,5936.54,3176.94,com.yangcong345.android.phone,6942,453.54
2024-06-06 18-31-44,5936.54,3148.88,com.yangcong345.android.phone,6942,477.01
2024-06-06 18-32-34,5936.54,3196.04,com.yangcong345.android.phone,6942,491.46
2024-06-06 18-33-24,5936.54,3162.6,com.yangcong345.android.phone,6942,491.55
2024-06-06 18-34-14,5936.54,3123.44,com.yangcong345.android.phone,6942,485.31
2024-06-06 18-35-04,5936.54,3191.91,com.yangcong345.android.phone,6942,477.22
2024-06-06 18-35-54,5936.54,3102.13,com.yangcong345.android.phone,6942,488.96
2024-06-06 18-36-44,5936.54,3096.5,com.yangcong345.android.phone,6942,493.21
2024-06-06 18-37-34,5936.54,3059.67,com.yangcong345.android.phone,6942,518.69
2024-06-06 18-38-24,5936.54,3000.51,com.yangcong345.android.phone,6942,526.29
2024-06-06 18-39-14,5936.54,3036.06,com.yangcong345.android.phone,6942,520.84
