2024-05-24 19-02-21 top info:
Tasks: 411 total,   4 running, 406 sleeping,   0 stopped,   1 zombie
  Mem:  6079216K total,  3479480K used,  2599736K free,    39960K buffers
 Swap:  3343564K total,        0K used,  3343564K free,  1404476K cached
800%cpu 274%user   0%nice 311%sys 215%idle   0%iow   0%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 2105 shell        20   0  11G  10M 5.4M R  196   0.1   0:02.33 adbd --root_seclabel=u:r:su:s0
 5706 shell        20   0  10G 3.3M 2.8M R  118   0.0   0:00.02 sh /system/bin/monkey -p com.yangcong345.eye.protection -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
 3984 u0_a114      20   0  15G 218M 146M S 40.7   3.6   0:52.39 com.yangcong345.eye.protection
  920 system       18  -2  19G 424M 313M S 33.3   7.1   1:38.58 system_server
 5702 shell        20   0  10G 4.8M 3.9M R 25.9   0.0   0:00.04 top -b -n 1 -d 5
 5521 root         20   0    0    0    0 R 14.8   0.0   0:01.23 [kworker/u16:1+adb]
 4826 root         20   0    0    0    0 I 14.8   0.0   0:03.51 [kworker/u16:2-cmdq_auto_release_threa]
 2243 u0_a56       20   0  16G 158M  89M S  3.7   2.6   0:21.79 com.yangcong345.cloud.launcher
 5636 root         20   0    0    0    0 I  0.0   0.0   0:00.14 [kworker/5:1-events]
 5633 root         20   0    0    0    0 I  0.0   0.0   0:00.27 [kworker/3:1-pm]
 5632 root         20   0    0    0    0 I  0.0   0.0   0:00.67 [kworker/2:1-accel_polling]
 5625 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0-events]
 5618 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/6:2-events]
 5609 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/u17:1-fpsgo_notifier_wq]
 5598 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/6:1-mm_percpu_wq]
 5557 root         20   0    0    0    0 I  0.0   0.0   0:00.44 [kworker/5:2-mm_percpu_wq]
 5554 root         20   0    0    0    0 I  0.0   0.0   0:01.76 [kworker/2:2-events]
 5553 root         20   0    0    0    0 I  0.0   0.0   0:00.67 [kworker/3:2-mm_percpu_wq]
 5539 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:1-events]
 5528 root          0 -20    0    0    0 I  0.0   0.0   0:00.15 [kworker/u17:2-fpsgo_notifier_wq]
 5430 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:0]
 5367 root         20   0    0    0    0 I  0.0   0.0   0:00.17 [kworker/6:0-events_freezable]
 5204 root         20   0    0    0    0 I  0.0   0.0   0:00.11 [kworker/6:3-mm_percpu_wq]
 5111 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 5042 root          0 -20    0    0    0 I  0.0   0.0   0:00.91 [kworker/u17:0-fpsgo_notifier_wq]
 4741 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 4179 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 4135 root         20   0    0    0    0 I  0.0   0.0   0:00.92 [kworker/4:2-events]
 3863 u0_a50       20   0  15G 117M  66M S  0.0   1.9   0:04.57 com.yangcong345.pad.systemsetting
 3840 system       20   0  14G  87M  38M S  0.0   1.4   0:00.07 com.mid.copymedia
 3785 u0_i9000     20   0 1.3G  81M  41M S  0.0   1.3   0:00.13 com.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0
 3738 u0_a85       20   0 1.3G  83M  44M S  0.0   1.4   0:00.22 com.android.webview:webview_service
 3554 u0_a73       20   0    0    0    0 Z  0.0   0.0   0:00.02 [ZIDThreadPoolEx]
 3543 system       20   0  14G  96M  47M S  0.0   1.6   0:00.13 com.hra.security_manage:hra_provider
 3403 u0_a35       20   0 1.3G 109M  66M S  0.0   1.8   0:02.84 com.google.android.inputmethod.pinyin
 3373 u0_a32       20   0  14G  99M  50M S  0.0   1.6   0:00.28 com.android.statementservice
