2024-06-05 15-13-01 top info:
Tasks: 484 total,   3 running, 480 sleeping,   0 stopped,   1 zombie
  Mem:  6005384K total,  4594456K used,  1410928K free,  73580544 buffers
 Swap:  3302956K total,   429264K used,  2873692K free,  2627832K cached
800%cpu 161%user   3%nice 110%sys 526%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 19047 shell        20   0  81M  19M  17M R  100   0.3   0:00.07 app_process /system/bin com.android.commands.monkey.Monkey -p com.yangcong345.android.phone -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
 18581 u0_a94       16  -4  31G 267M 150M S 48.3   4.5   0:47.86 com.yangcong345.android.phone
   888 system       18  -2  17G 268M 212M S 38.7   4.5  15:10.86 system_server
 18126 shell        20   0  10G 6.0M 4.6M R 25.8   0.1   0:00.81 adbd --root_seclabel=u:r:su:s0
 19049 shell        20   0  10G 4.4M 3.3M R 12.9   0.0   0:00.07 top -b -n 1 -d 5
  6529 u0_a126      20   0  14G 173M 130M S  6.4   2.9   8:39.90 com.yangcong345.eye.protection
 18463 root         20   0    0    0    0 I  3.2   0.0   0:00.92 [kworker/7:2]
 18405 root         20   0    0    0    0 I  3.2   0.0   0:00.38 [kworker/u16:5]
 18111 root         20   0    0    0    0 I  3.2   0.0   0:02.11 [kworker/u16:6]
  3192 system       20   0  14G 169M 151M S  3.2   2.8   1:22.65 com.android.settings
  2849 root         10 -10    0    0    0 S  3.2   0.0   0:13.80 [tx_thread]
   746 system       20   0  10G 5.2M 4.5M S  3.2   0.0   4:03.85 android.hardware.sensors@2.0-service-mediatek
 19015 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/u17:2]
 18773 u0_i9009     20   0 1.3G  72M  57M S  0.0   1.2   0:00.07 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0
 18696 u0_a94       20   0    0    0    0 Z  0.0   0.0   0:00.02 [ZIDThreadPoolEx]
 18605 u0_a94       20   0  14G  18M 1.3M S  0.0   0.3   0:20.79 enohp.diordna.543gnocgnay.moc
 18560 system       20   0  13G  71M  60M S  0.0   1.2   0:00.10 com.android.keychain
 18404 root         20   0    0    0    0 I  0.0   0.0   0:00.46 [kworker/u16:4]
 18403 root         20   0    0    0    0 I  0.0   0.0   0:00.24 [kworker/u16:0]
 18394 root          0 -20    0    0    0 I  0.0   0.0   0:00.20 [kworker/u17:1]
 18393 root         20   0    0    0    0 I  0.0   0.0   0:00.26 [kworker/1:2]
 18392 root         20   0    0    0    0 I  0.0   0.0   0:00.68 [kworker/0:0]
 18391 root         20   0    0    0    0 I  0.0   0.0   0:00.30 [kworker/3:1]
 18390 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:1]
 18361 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:1]
 18360 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/1:0]
 18354 root         20   0    0    0    0 I  0.0   0.0   0:03.09 [kworker/2:0]
 18353 root         20   0    0    0    0 I  0.0   0.0   0:00.98 [kworker/3:2]
 18291 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 18263 u0_a114      20   0  14G 176M 151M S  0.0   2.9   0:09.58 com.android.systemui:screenshot
 18233 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 18192 u0_a69       20   0  14G 151M 135M S  0.0   2.5   0:04.96 com.yangcong345.cloud.toolbox
 18137 root         20   0    0    0    0 I  0.0   0.0   0:09.68 [kworker/2:3]
 18132 root         20   0    0    0    0 I  0.0   0.0   0:00.18 [kworker/4:1]
 18115 root         20   0    0    0    0 I  0.0   0.0   0:00.89 [kworker/1:1]
 18112 root         20   0    0    0    0 I  0.0   0.0   0:01.79 [kworker/u16:8]
 18062 root         20   0    0    0    0 I  0.0   0.0   0:01.86 [kworker/u16:1]
 17882 root         20   0    0    0    0 I  0.0   0.0   0:01.81 [kworker/u16:7]
 17831 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 17803 u0_a130      20   0  14G 130M 123M S  0.0   2.2   2:36.43 com.passmark.pt_mobile
