2024-06-20 16-46-41 top info:
Tasks: 437 total,   2 running, 434 sleeping,   0 stopped,   1 zombie
  Mem:      7.6G total,      5.4G used,      2.2G free,       83M buffers
 Swap:      4.2G total,      395M used,      3.8G free,      2.9G cached
800%cpu 155%user   0%nice 110%sys 534%idle   0%iow   0%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 5463 shell        20   0  74M  15M  14M R  100   0.1   0:00.05 app_process /system/bin com.android.commands.monkey.Monkey -p com.yangcong345.android.phone -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
  931 system       18  -2 8.7G 208M 208M S 75.8   2.6  41:24.79 system_server
  338 logd         18  -2 145M 5.4M 3.7M S 13.7   0.0   3:19.02 logd
 5461 shell        20   0  35M 4.0M 3.2M R 10.3   0.0   0:00.06 top -b -n 1 -d 5
 4001 shell        20   0 195M 6.7M 4.5M S  6.8   0.0   0:02.46 adbd --root_seclabel=u:r:su:s0
 4620 root         20   0    0    0    0 I  3.4   0.0   0:02.66 [kworker/4:0]
17579 u0_a68       20   0  47G 429M 315M S  3.4   5.4  17:54.34 com.yangcong345.android.phone
 3305 u0_a114      20   0 5.9G 117M 117M S  3.4   1.4  19:35.33 com.yangcong345.eye.protection
 1447 root         10 -10    0    0    0 S  3.4   0.0  10:37.16 [tx_thread]
  628 system       20   0  76M 4.9M 4.9M S  3.4   0.0   5:16.22 android.hardware.sensors@2.0-service-mediatek
   45 root         20   0    0    0    0 S  3.4   0.0   0:04.62 [ksoftirqd/7]
 5413 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2]
 5401 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:1]
 5398 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:2]
 5396 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0]
 5215 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:1]
 5214 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:1]
 5192 root         20   0    0    0    0 I  0.0   0.0   0:00.49 [kworker/u16:2]
 5191 root         20   0    0    0    0 I  0.0   0.0   0:01.20 [kworker/6:2]
 5186 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:0]
 5183 root          0 -20    0    0    0 I  0.0   0.0   0:00.18 [kworker/u17:0]
 5180 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:2]
 5179 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:2]
 5176 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:1]
 5173 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:2]
 5157 root         20   0    0    0    0 I  0.0   0.0   0:03.42 [kworker/6:0]
 5109 root          0 -20    0    0    0 I  0.0   0.0   0:00.13 [kworker/u17:3]
 4844 root         20   0    0    0    0 I  0.0   0.0   0:02.64 [kworker/0:0]
 4649 root          0 -20    0    0    0 I  0.0   0.0   0:00.69 [kworker/u17:2]
 4567 root         20   0    0    0    0 I  0.0   0.0   0:01.36 [kworker/u16:7]
 4559 root         20   0    0    0    0 I  0.0   0.0   0:01.87 [kworker/2:0]
 4446 root         20   0    0    0    0 I  0.0   0.0   0:02.50 [kworker/1:1]
 4394 root         20   0    0    0    0 I  0.0   0.0   0:02.49 [kworker/3:1]
 4000 root         20   0    0    0    0 I  0.0   0.0   0:10.43 [kworker/6:1]
 3947 root         20   0    0    0    0 I  0.0   0.0   0:06.75 [kworker/7:0]
 3542 root         20   0    0    0    0 I  0.0   0.0   0:02.55 [kworker/u16:5]
 3510 root         20   0    0    0    0 I  0.0   0.0   0:09.29 [kworker/4:3]
 3376 root         20   0    0    0    0 I  0.0   0.0   0:01.80 [kworker/u16:4]
 3190 root         20   0    0    0    0 I  0.0   0.0   0:02.49 [kworker/u16:1]
 2107 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 2064 u0_a105      20   0 5.8G 149M 125M S  0.0   1.8   0:03.49 com.android.systemui:screenshot
 1928 root         20   0    0    0    0 I  0.0   0.0   0:04.05 [kworker/u16:9]
 1733 root         20   0    0    0    0 I  0.0   0.0   0:09.96 [kworker/5:0]
32537 root         20   0    0    0    0 I  0.0   0.0   0:04.78 [kworker/u16:3]
32522 root         20   0    0    0    0 I  0.0   0.0   0:00.68 [kworker/7:2]
30243 root         20   0    0    0    0 I  0.0   0.0   0:10.96 [kworker/u16:0]
29679 system       20   0  98M  10M 8.4M S  0.0   0.1   0:00.48 vendor.mediatek.hardware.mms@1.5-service
26961 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
26660 system       20   0 5.1G  89M  64M S  0.0   1.1   0:00.20 com.android.deskclock
26637 u0_a76       20   0 5.1G  77M  53M S  0.0   0.9   0:00.17 com.android.calendar
26420 u0_a45       20   0 5.1G  74M  53M S  0.0   0.9   0:00.32 com.android.providers.calendar
23269 nobody       20   0  34M 1.8M 1.0M S  0.0   0.0   0:02.68 dnslinspirer
23225 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
18276 u0_i9009     20   0 1.5G  63M  47M S  0.0   0.8   0:00.32 com.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0
18219 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
18177 u0_a81       20   0 5.9G 151M 123M S  0.0   1.9   2:21.63 com.yangcong345.cloud.toolbox
18092 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
17920 u0_a93       10 -10 8.5G 361M 162M S  0.0   4.5   8:12.53 com.yangcong345.cloud.ui.launcher
17766 u0_i9008     20   0 1.5G  65M  47M S  0.0   0.8   0:00.13 com.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0
17747 u0_a109      20   0 1.5G  72M  57M S  0.0   0.9   0:00.40 com.android.webview:webview_service
17677 u0_a68       20   0    0    0    0 Z  0.0   0.0   0:00.01 [ZIDThreadPoolEx]
17235 u0_a87       20   0 7.0G  73M  73M S  0.0   0.9   8:27.88 com.yangcong345.cloud.launcher
 3961 u0_a106      20   0 5.4G  87M  75M S  0.0   1.1   0:02.03 com.adups.fota
21835 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
21767 u0_a115      20   0 7.1G 213M 175M S  0.0   2.7   3:02.92 com.yangcong345.pad.market
21083 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
19476 system       20   0 5.1G  72M  55M S  0.0   0.9   0:00.44 com.android.keychain
 6270 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fs_suspend_syss]
 4787 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 3789 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 3467 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 2953 u0_a64       20   0 6.4G 188M 164M S  0.0   2.3   3:52.35 com.yangcong345.pad.systemsetting
 2885 system       20   0 5.1G  74M  61M S  0.0   0.9   0:01.04 com.hra.security_manage:hra_provider
 2685 u0_a40       20   0 5.1G  88M  70M S  0.0   1.1   0:03.45 com.android.permissioncontroller
 2103 u0_a75       20   0 5.5G  85M  65M S  0.0   1.0   0:10.50 com.debug.loggerui
 2065 u0_a39       20   0 5.3G 100M  80M S  0.0   1.2   0:10.79 android.process.media
 1877 u0_a85       20   0 5.1G  68M  47M S  0.0   0.8   0:00.15 com.android.smspush
 1852 secure_element 20 0 5.1G  68M  48M S  0.0   0.8   0:00.23 com.android.se
 1676 system       20   0  35M 3.4M 3.2M S  0.0   0.0   0:18.92 batterywarning
 1640 bluetooth    20   0 5.7G  82M  75M S  0.0   1.0   0:45.73 com.android.bluetooth
 1617 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 1510 u0_a89       20   0 1.5G 149M 124M S  0.0   1.9   0:21.27 com.google.android.inputmethod.pinyin
 1500 wifi         20   0 2.0G  11M  10M S  0.0   0.1   0:16.62 wpa_supplicant -g@android:wpa_wlan0
 1477 u0_a104      20   0 6.0G 118M 106M S  0.0   1.4   0:05.25 com.android.launcher3
 1451 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 1450 root         10 -10    0    0    0 S  0.0   0.0   2:03.73 [rx_thread]
 1449 root         10 -10    0    0    0 S  0.0   0.0   6:06.74 [hif_thread]
 1441 u0_a54       20   0 5.1G  75M  58M S  0.0   0.9   0:00.48 android.ext.services
 1414 root         RT   0    0    0    0 S  0.0   0.0   0:36.48 [disp_queue_P0]
 1390 system       20   0 6.0G 158M 148M S  0.0   2.0   2:36.49 com.android.settings
 1372 webview_zygote 20 0 1.6G  53M  37M S  0.0   0.6   0:05.99 webview_zygote
 1347 radio        20   0 5.6G  87M  75M S  0.0   1.1   0:58.25 com.android.phone
 1320 network_stack 20  0 5.3G  70M  70M S  0.0   0.8   1:49.45 com.android.networkstack
 1254 u0_a105      20   0 6.9G 196M 181M S  0.0   2.4   8:18.21 com.android.systemui
 1232 wifi         20   0  60M 6.9M 6.4M S  0.0   0.0   0:08.38 android.hardware.wifi@1.0-service-lazy-mediatek
  805 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_eint_wq]
  804 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_timer_wq]
  714 root         20   0  34M 3.1M 2.7M S  0.0   0.0   0:06.73 ip6tables-restore --noflush -w -v
  713 root         20   0  34M 3.2M 2.7M S  0.0   0.0   0:07.26 iptables-restore --noflush -w -v
  705 system       20   0  92M 4.4M 4.3M S  0.0   0.0   0:00.27 netdagent
  694 root         20   0  43M 8.3M 7.6M S  0.0   0.1   0:00.04 update_engine --logtostderr --logtofile --foreground
  656 root         20   0    0    0    0 S  0.0   0.0   0:00.05 [mtk_wmtd_worker]
  651 root         20   0    0    0    0 S  0.0   0.0   0:10.73 [mtk_wmtd]
  650 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mtk_stp_btm]
  649 root         20   0    0    0    0 S  0.0   0.0   0:03.24 [mtk_stp_psm]
  647 tombstoned   20   0  34M 1.9M 1.8M S  0.0   0.0   0:00.00 tombstoned
