2024-10-22 15-07-26 top info:
Tasks: 436 total,   3 running, 432 sleeping,   0 stopped,   1 zombie
  Mem:      7.6G total,      5.7G used,      1.9G free,      137M buffers
 Swap:      4.2G total,      383M used,      3.8G free,      3.8G cached
800%cpu 183%user   0%nice  77%sys 540%idle   0%iow   0%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
10786 shell        20   0  61M 7.0M 6.1M R 90.0   0.0   0:00.03 app_process /system/bin com.android.commands.monkey.Monkey -p com.yangcong345.android.phone -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
 6515 u0_a65       16  -4 6.8G 233M 151M S 53.3   2.9  19:56.00 com.yangcong345.android.phone
  923 system       18  -2 8.4G 222M 222M S 26.6   2.8   7:11.62 system_server
  450 audioserver  20   0  45M  12M  12M S 20.0   0.1   0:35.42 android.hardware.audio@5.0-service-mediatek
  632 mediacodec   20   0 258G  20M  15M S 10.0   0.2   0:05.22 media.swcodec oid.media.swcodec/bin/mediaswcodec
10778 shell        20   0  35M 4.1M 3.3M R  6.6   0.0   0:00.06 top -b -n 1 -d 5
 6794 u0_a114      20   0 5.9G 119M 119M S  6.6   1.5   3:31.59 com.yangcong345.eye.protection
 5202 shell        20   0 179M 5.9M 4.5M R  6.6   0.0   0:03.15 adbd --root_seclabel=u:r:su:s0
  601 media        20   0 144M  22M  18M S  6.6   0.2   0:07.36 mediaserver
10154 root         20   0    0    0    0 I  3.3   0.0   0:01.60 [kworker/u16:2]
10120 root         20   0    0    0    0 I  3.3   0.0   0:07.38 [kworker/4:0]
  614 system       20   0  76M 5.1M 4.9M S  3.3   0.0   1:12.99 android.hardware.sensors@2.0-service-mediatek
  344 logd         18  -2 145M 6.8M 3.7M S  3.3   0.0   1:16.74 logd
   45 root         20   0    0    0    0 S  3.3   0.0   0:01.09 [ksoftirqd/7]
    8 root         20   0    0    0    0 I  3.3   0.0   0:19.89 [rcu_preempt]
10716 root          0 -20    0    0    0 I  0.0   0.0   0:00.05 [kworker/u17:0]
10715 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:1]
10714 root         20   0    0    0    0 I  0.0   0.0   0:00.10 [kworker/2:2]
10709 root         20   0    0    0    0 I  0.0   0.0   0:02.73 [kworker/4:3]
10704 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:2]
10703 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:2]
10702 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:1]
10677 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:2]
10638 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0]
10636 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:1]
10569 root          0 -20    0    0    0 I  0.0   0.0   0:00.15 [kworker/u17:2]
10538 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:1]
10537 root         20   0    0    0    0 I  0.0   0.0   0:04.01 [kworker/4:1]
10536 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2]
10533 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:1]
10524 root         20   0    0    0    0 I  0.0   0.0   0:00.93 [kworker/u16:6]
