datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-07-08 16-02-35,436,281,155,365,com.yangcong345.android.phone,2488,83.8
2024-07-08 16-02-41,372,203,169,390,com.yangcong345.android.phone,2488,162
2024-07-08 16-02-47,289,146,143,511,com.yangcong345.android.phone,2488,100
2024-07-08 16-02-53,278,123,155,523,com.yangcong345.android.phone,2488,116
2024-07-08 16-02-58,200,103,97,600,com.yangcong345.android.phone,2488,96.5
2024-07-08 16-03-04,310,138,172,490,com.yangcong345.android.phone,2488,172
2024-07-08 16-03-10,286,129,157,514,com.yangcong345.android.phone,2488,157
2024-07-08 16-03-15,190,83,107,610,com.yangcong345.android.phone,2488,83.3
2024-07-08 16-03-21,207,114,93,590,com.yangcong345.android.phone,2488,86.2
2024-07-08 16-03-27,169,79,90,628,com.yangcong345.android.phone,2488,58.6
2024-07-08 16-03-33,518,325,193,82,com.yangcong345.android.phone,2488,110
2024-07-08 16-03-38,176,76,100,624,com.yangcong345.android.phone,2488,62.0
2024-07-08 16-03-44,164,77,87,637,com.yangcong345.android.phone,2488,60.0
2024-07-08 16-03-50,282,157,125,518,com.yangcong345.android.phone,2488,92.8
2024-07-08 16-03-55,283,114,169,517,com.yangcong345.android.phone,2488,75.8
2024-07-08 16-04-01,160,73,87,640,com.yangcong345.android.phone,2488,63.3
2024-07-08 16-04-07,162,72,90,638,com.yangcong345.android.phone,2488,55.1
2024-07-08 16-04-12,179,72,107,617,com.yangcong345.android.phone,2488,62.0
2024-07-08 16-04-18,183,93,90,617,com.yangcong345.android.phone,2488,68.9
2024-07-08 16-04-24,161,68,93,636,com.yangcong345.android.phone,2488,57.1
2024-07-08 16-04-30,257,118,139,539,com.yangcong345.android.phone,2488,185
2024-07-08 16-04-35,343,164,179,458,com.yangcong345.android.phone,2488,81.8
2024-07-08 16-04-41,228,107,121,566,com.yangcong345.android.phone,2488,68.9
2024-07-08 16-04-47,270,127,143,527,com.yangcong345.android.phone,2488,146
2024-07-08 16-04-52,234,124,110,566,com.yangcong345.android.phone,2488,82.7
2024-07-08 16-04-58,443,261,182,282,com.yangcong345.android.phone,2488,128
2024-07-08 16-05-04,297,113,184,503,com.yangcong345.android.phone,2488,180
2024-07-08 16-05-10,216,145,71,584,com.yangcong345.android.phone,2488,138
2024-07-08 16-05-15,335,138,197,462,com.yangcong345.android.phone,2488,86.2
2024-07-08 16-05-21,391,181,210,390,com.yangcong345.android.phone,2488,174
2024-07-08 16-05-27,166,66,100,634,com.yangcong345.android.phone,2488,65.5
2024-07-08 16-05-32,564,371,193,100,com.yangcong345.android.phone,2488,117
2024-07-08 16-05-38,189,86,103,610,com.yangcong345.android.phone,2488,65.5
2024-07-08 16-05-44,214,83,131,586,com.yangcong345.android.phone,2488,58.6
2024-07-08 16-05-49,217,134,83,583,com.yangcong345.android.phone,2488,117
2024-07-08 16-05-55,386,148,238,414,com.yangcong345.android.phone,2488,220
2024-07-08 16-06-01,286,143,143,507,com.yangcong345.android.phone,2488,57.1
2024-07-08 16-06-07,183,76,107,617,com.yangcong345.android.phone,2488,65.5
2024-07-08 16-06-12,311,132,179,489,com.yangcong345.android.phone,2488,153
2024-07-08 16-06-18,169,62,107,631,com.yangcong345.android.phone,2488,62.0
2024-07-08 16-06-24,179,86,93,621,com.yangcong345.android.phone,2488,79.3
2024-07-08 16-06-29,310,141,169,490,com.yangcong345.android.phone,2488,200
2024-07-08 16-06-35,220,110,110,579,com.yangcong345.android.phone,2488,65.5
2024-07-08 16-06-41,265,155,110,507,com.yangcong345.android.phone,2488,62.0
2024-07-08 16-06-47,317,123,194,484,com.yangcong345.android.phone,2488,190
2024-07-08 16-06-52,321,182,139,479,com.yangcong345.android.phone,2488,82.1
2024-07-08 16-06-58,212,106,106,577,com.yangcong345.android.phone,2488,87.0
2024-07-08 16-07-04,147,77,70,650,com.yangcong345.android.phone,2488,63.3
2024-07-08 16-07-09,311,166,145,486,com.yangcong345.android.phone,2488,117
2024-07-08 16-07-15,413,174,239,387,com.yangcong345.android.phone,2488,170
2024-07-08 16-07-21,332,157,175,468,com.yangcong345.android.phone,2488,132
2024-07-08 16-07-27,175,96,79,621,com.yangcong345.android.phone,2488,64.2
2024-07-08 16-07-32,233,113,120,563,com.yangcong345.android.phone,2488,73.3
2024-07-08 16-07-38,257,89,168,543,com.yangcong345.android.phone,2488,157
2024-07-08 16-07-44,210,103,107,590,com.yangcong345.android.phone,2488,89.6
2024-07-08 16-07-50,265,148,117,534,com.yangcong345.android.phone,2488,113
2024-07-08 16-07-55,400,158,242,400,com.yangcong345.android.phone,2488,187
2024-07-08 16-08-01,194,97,97,603,com.yangcong345.android.phone,2488,58.6
2024-07-08 16-08-07,179,79,100,621,com.yangcong345.android.phone,2488,58.6
2024-07-08 16-08-12,254,100,154,546,com.yangcong345.android.phone,2488,150
2024-07-08 16-08-18,203,90,113,597,com.yangcong345.android.phone,2488,90.3
2024-07-08 16-08-24,193,86,107,607,com.yangcong345.android.phone,2488,65.5
2024-07-08 16-08-29,440,197,243,350,com.yangcong345.android.phone,2488,216
2024-07-08 16-08-35,507,310,197,200,com.yangcong345.android.phone,2488,120
2024-07-08 16-08-41,162,72,90,634,com.yangcong345.android.phone,2488,68.9
2024-07-08 16-08-47,300,186,114,455,com.yangcong345.android.phone,2488,65.5
