datatime,package,pid,pss,java_heap,native_heap,system
2024-07-08 16-02-35,com.yangcong345.android.phone,2488,383.64,18.82,103.44,32.25
2024-07-08 16-02-49,com.yangcong345.android.phone,2488,430.1,18.45,87.63,29.6
2024-07-08 16-02-54,com.yangcong345.android.phone,2488,424.32,18.62,81.78,28.81
2024-07-08 16-02-59,com.yangcong345.android.phone,2488,423.14,20.01,92.04,28.87
2024-07-08 16-03-04,com.yangcong345.android.phone,2488,427.52,20.04,91.42,29.24
2024-07-08 16-03-09,com.yangcong345.android.phone,2488,417.77,18.3,82.27,29.32
2024-07-08 16-03-14,com.yangcong345.android.phone,2488,416.49,18.18,82.29,29.35
2024-07-08 16-03-19,com.yangcong345.android.phone,2488,431.67,17.93,82.6,29.35
2024-07-08 16-03-24,com.yangcong345.android.phone,2488,426.33,17.5,85.54,29.01
2024-07-08 16-03-29,com.yangcong345.android.phone,2488,426.55,17.66,84.86,29.35
2024-07-08 16-03-34,com.yangcong345.android.phone,2488,437.41,19.66,94.58,29.01
2024-07-08 16-03-39,com.yangcong345.android.phone,2488,435.05,19.9,94.16,29.01
2024-07-08 16-03-44,com.yangcong345.android.phone,2488,435.93,19.86,93.96,29.01
2024-07-08 16-03-49,com.yangcong345.android.phone,2488,419.32,18.2,85.89,29.01
2024-07-08 16-03-54,com.yangcong345.android.phone,2488,431.96,20.04,94.38,29.35
2024-07-08 16-03-59,com.yangcong345.android.phone,2488,428.71,20.04,94.18,29.01
2024-07-08 16-04-04,com.yangcong345.android.phone,2488,419.74,17.85,85.22,29.35
2024-07-08 16-04-09,com.yangcong345.android.phone,2488,418.13,18.01,85.52,29.0
2024-07-08 16-04-14,com.yangcong345.android.phone,2488,419.46,17.86,85.52,29.34
2024-07-08 16-04-19,com.yangcong345.android.phone,2488,431.42,19.66,93.98,29.34
2024-07-08 16-04-24,com.yangcong345.android.phone,2488,431.94,18.22,85.07,29.0
2024-07-08 16-04-29,com.yangcong345.android.phone,2488,430.98,19.55,93.6,29.34
2024-07-08 16-04-34,com.yangcong345.android.phone,2488,419.44,18.42,85.09,28.95
2024-07-08 16-04-39,com.yangcong345.android.phone,2488,432.36,21.02,94.18,29.0
2024-07-08 16-04-44,com.yangcong345.android.phone,2488,422.51,19.07,85.55,29.34
2024-07-08 16-04-49,com.yangcong345.android.phone,2488,426.93,18.55,84.02,28.95
2024-07-08 16-04-54,com.yangcong345.android.phone,2488,430.48,20.09,93.45,29.0
2024-07-08 16-04-59,com.yangcong345.android.phone,2488,428.6,20.19,93.83,29.0
2024-07-08 16-05-04,com.yangcong345.android.phone,2488,421.24,18.2,85.17,29.34
2024-07-08 16-05-09,com.yangcong345.android.phone,2488,420.14,17.97,84.34,29.34
