2024-07-08 16-02-35 top info:
Tasks: 435 total,   4 running, 430 sleeping,   0 stopped,   1 zombie
  Mem:      7.6G total,      4.7G used,      2.8G free,       57M buffers
 Swap:      4.2G total,      204M used,      4.0G free,      2.8G cached
800%cpu 281%user   0%nice 155%sys 365%idle   0%iow   0%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
11863 shell        20   0  74M  15M  14M R  100   0.1   0:00.08 app_process /system/bin com.android.commands.monkey.Monkey -p com.yangcong345.android.phone -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
 2488 u0_a86       10 -10  10G 319M 319M R 83.8   4.0  76:45.05 com.yangcong345.android.phone
  930 system       18  -2 8.5G 197M 197M S 61.2   2.5   8:12.33 system_server
 3293 u0_i9000     10 -10 1.7G 211M 131M S 25.8   2.6   4:39.18 com.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0
11861 shell        20   0  35M 4.0M 3.2M R 19.3   0.0   0:00.09 top -b -n 1 -d 5
  490 system       -2  -8 997M  49M  40M S 19.3   0.6  21:58.28 surfaceflinger
  463 system       -3  -8 348M  12M  12M S 16.1   0.1  12:20.09 android.hardware.graphics.composer@2.1-service
 1742 shell        20   0 201M 5.2M 4.3M S  9.6   0.0   0:32.42 adbd --root_seclabel=u:r:su:s0
10863 root          0 -20    0    0    0 I  6.4   0.0   0:13.91 [kworker/u17:0]
  595 system       20   0  76M 5.0M 4.8M S  6.4   0.0   1:47.30 android.hardware.sensors@2.0-service-mediatek
10555 root         20   0    0    0    0 I  3.2   0.0   0:17.65 [kworker/u16:1]
 7355 root         20   0    0    0    0 D  3.2   0.0   1:10.62 [kworker/u16:4]
 5433 root         20   0    0    0    0 I  3.2   0.0   1:11.26 [kworker/u16:8]
 3259 u0_a114      20   0 5.9G 130M 112M S  3.2   1.6   6:17.07 com.yangcong345.eye.protection
 1268 root         RT   0    0    0    0 S  3.2   0.0   1:41.08 [disp_queue_P0]
  467 system       20   0  37M 4.6M 4.1M S  3.2   0.0   0:01.46 android.hardware.memtrack@1.0-service
   19 root         RT   0    0    0    0 S  3.2   0.0   0:01.91 [migration/2]
11827 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/5:0]
11825 root         20   0    0    0    0 I  0.0   0.0   0:00.08 [kworker/4:1]
11821 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:1]
11820 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0]
11780 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2]
11777 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:2]
11776 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:0]
11775 root         20   0    0    0    0 I  0.0   0.0   0:04.03 [kworker/u16:2]
11651 root          0 -20    0    0    0 I  0.0   0.0   0:08.33 [kworker/u17:3]
11574 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:1]
11443 root         20   0    0    0    0 I  0.0   0.0   0:04.12 [kworker/5:1]
11346 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0]
11336 root         20   0    0    0    0 I  0.0   0.0   0:00.91 [kworker/3:0]
11335 root         20   0    0    0    0 I  0.0   0.0   0:00.82 [kworker/0:1]
