datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-07-08 16-02-35,0.0,0.0,0.0,com.yangcong345.android.phone,2488,0.0,0.0,0.0
2024-07-08 16-02-40,93.28,64.77,28.51,com.yangcong345.android.phone,2488,65.92,28.8,94.72
2024-07-08 16-02-45,1225.88,1162.46,63.43,com.yangcong345.android.phone,2488,1261.24,64.69,1325.93
2024-07-08 16-02-50,1516.3,1430.2,86.1,com.yangcong345.android.phone,2488,1430.2,86.1,1516.3
2024-07-08 16-02-55,1520.19,1430.88,89.31,com.yangcong345.android.phone,2488,1430.88,89.31,1520.19
2024-07-08 16-03-00,1546.94,1440.72,106.22,com.yangcong345.android.phone,2488,1441.41,106.56,1547.97
2024-07-08 16-03-05,1557.5,1445.86,111.65,com.yangcong345.android.phone,2488,1445.86,111.65,1557.5
2024-07-08 16-03-10,1559.95,1446.42,113.53,com.yangcong345.android.phone,2488,1446.42,113.53,1559.95
2024-07-08 16-03-15,1561.55,1447.36,114.19,com.yangcong345.android.phone,2488,1447.36,114.19,1561.55
2024-07-08 16-03-20,1561.68,1447.43,114.26,com.yangcong345.android.phone,2488,1447.43,114.26,1561.68
2024-07-08 16-03-25,1575.62,1453.33,122.29,com.yangcong345.android.phone,2488,1453.33,122.29,1575.62
2024-07-08 16-03-30,1575.83,1453.44,122.4,com.yangcong345.android.phone,2488,1453.44,122.4,1575.83
2024-07-08 16-03-35,1594.76,1460.48,134.29,com.yangcong345.android.phone,2488,1460.94,134.34,1595.27
2024-07-08 16-03-40,1607.01,1466.33,140.68,com.yangcong345.android.phone,2488,1466.33,140.68,1607.01
2024-07-08 16-03-45,1625.59,1473.64,151.95,com.yangcong345.android.phone,2488,1473.64,151.95,1625.59
2024-07-08 16-03-50,1648.15,1483.73,164.42,com.yangcong345.android.phone,2488,1483.73,164.42,1648.15
2024-07-08 16-03-55,1666.69,1493.43,173.25,com.yangcong345.android.phone,2488,1493.43,173.25,1666.69
2024-07-08 16-04-00,1680.37,1499.65,180.72,com.yangcong345.android.phone,2488,1499.65,180.72,1680.37
2024-07-08 16-04-05,1681.42,1500.12,181.29,com.yangcong345.android.phone,2488,1500.12,182.95,1683.07
2024-07-08 16-04-10,1704.28,1511.11,193.17,com.yangcong345.android.phone,2488,1511.11,193.17,1704.28
2024-07-08 16-04-15,1706.47,1511.79,194.69,com.yangcong345.android.phone,2488,1512.14,194.98,1707.11
2024-07-08 16-04-20,1717.99,1517.55,200.44,com.yangcong345.android.phone,2488,1517.55,200.44,1717.99
2024-07-08 16-04-25,1749.94,1531.9,218.04,com.yangcong345.android.phone,2488,1531.9,218.04,1749.94
2024-07-08 16-04-30,1752.08,1532.51,219.56,com.yangcong345.android.phone,2488,1532.51,219.56,1752.08
2024-07-08 16-04-35,1755.39,1534.0,221.4,com.yangcong345.android.phone,2488,1534.0,221.4,1755.39
2024-07-08 16-04-40,1795.16,1553.86,241.3,com.yangcong345.android.phone,2488,1553.86,241.3,1795.16
2024-07-08 16-04-45,1800.83,1556.09,244.74,com.yangcong345.android.phone,2488,1556.09,244.74,1800.83
2024-07-08 16-04-50,1800.83,1556.09,244.74,com.yangcong345.android.phone,2488,1556.09,244.74,1800.83
2024-07-08 16-04-55,1812.61,1561.51,251.1,com.yangcong345.android.phone,2488,1561.51,251.1,1812.61
2024-07-08 16-05-00,1825.63,1567.07,258.56,com.yangcong345.android.phone,2488,1567.07,258.56,1825.63
2024-07-08 16-05-05,1828.27,1568.0,260.27,com.yangcong345.android.phone,2488,1568.0,260.27,1828.27
