2024-07-08 18-53-23 top info:
Tasks: 434 total,   2 running, 431 sleeping,   0 stopped,   1 zombie
  Mem:      7.6G total,      4.7G used,      2.9G free,       66M buffers
 Swap:      4.2G total,      201M used,      4.0G free,      2.8G cached
800%cpu 172%user   0%nice  90%sys 538%idle   0%iow   0%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
16661 shell        20   0  74M  16M  15M R  100   0.2   0:00.05 app_process /system/bin com.android.commands.monkey.Monkey -p com.yangcong345.android.phone -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
  930 system       18  -2 8.5G 198M 198M S 51.7   2.5  11:22.68 system_server
 2488 u0_a86       20   0  10G 222M 222M S 34.4   2.8 105:20.71 com.yangcong345.android.phone
16663 shell        20   0  35M 3.9M 3.1M R 10.3   0.0   0:00.05 top -b -n 1 -d 5
  343 logd         18  -2 145M 6.4M 3.8M S 10.3   0.0   1:26.18 logd
 1742 shell        20   0 201M 5.2M 4.3M S  6.8   0.0   0:59.44 adbd --root_seclabel=u:r:su:s0
16248 root         20   0    0    0    0 I  3.4   0.0   0:02.08 [kworker/u16:0]
15698 root         20   0    0    0    0 I  3.4   0.0   0:00.05 [kworker/6:1]
 3259 u0_a114      20   0 5.9G 112M 112M S  3.4   1.4   8:01.00 com.yangcong345.eye.protection
  467 system       20   0  37M 4.6M 4.1M S  3.4   0.0   0:02.47 android.hardware.memtrack@1.0-service
  393 system       20   0  94M 6.4M 5.7M S  3.4   0.0   6:06.14 android.system.suspend@1.0-service
16561 system       20   0 2.0G 9.3M 7.6M S  0.0   0.1   0:00.07 idmap2d
16556 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/u17:1]
16521 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:0]
16519 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/u16:5]
16518 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/u16:4]
16478 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:1]
16477 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:1]
16475 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:2]
16474 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2]
16467 root         20   0    0    0    0 I  0.0   0.0   0:00.79 [kworker/0:2]
16466 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0]
16465 root         20   0    0    0    0 I  0.0   0.0   0:00.37 [kworker/2:0]
16463 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:0]
16428 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:2]
16406 root         20   0    0    0    0 I  0.0   0.0   0:00.70 [kworker/2:1]
16372 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:2]
16329 root         20   0    0    0    0 I  0.0   0.0   0:02.18 [kworker/1:2]
16280 root         20   0    0    0    0 I  0.0   0.0   0:03.94 [kworker/0:0]
15999 root         20   0    0    0    0 I  0.0   0.0   0:02.98 [kworker/3:1]
15740 root         20   0    0    0    0 I  0.0   0.0   0:05.33 [kworker/u16:3]
15736 root          0 -20    0    0    0 I  0.0   0.0   0:00.17 [kworker/u17:2]
15690 root         20   0    0    0    0 I  0.0   0.0   0:04.11 [kworker/5:1]
15504 root         20   0    0    0    0 I  0.0   0.0   0:22.23 [kworker/4:1]
13456 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:0]
12498 root         20   0    0    0    0 I  0.0   0.0   0:15.94 [kworker/u16:7]
11775 root         20   0    0    0    0 I  0.0   0.0   0:23.07 [kworker/u16:2]
11315 root         20   0    0    0    0 I  0.0   0.0   0:00.76 [kworker/7:1]
10863 root          0 -20    0    0    0 I  0.0   0.0   0:25.68 [kworker/u17:0]
10555 root         20   0    0    0    0 I  0.0   0.0   0:37.78 [kworker/u16:1]
 6038 system       20   0  98M  10M 8.3M S  0.0   0.1   0:45.29 vendor.mediatek.hardware.mms@1.5-service
 5828 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 5300 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 5234 u0_a80       20   0 6.2G 185M 126M S  0.0   2.3   0:34.35 com.yangcong345.pad.systemsetting
 3592 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fs_suspend_syss]
 3571 system       20   0 5.1G  72M  50M S  0.0   0.9   0:01.04 com.android.keychain
 3522 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 3490 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 3293 u0_i9000     20   0 1.7G 147M 104M S  0.0   1.8   4:48.48 com.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0
 3271 u0_a112      20   0 1.5G  69M  52M S  0.0   0.8   0:01.30 com.android.webview:webview_service
 3172 u0_a86       20   0    0    0    0 Z  0.0   0.0   0:00.01 [ZIDThreadPoolEx]
 3046 u0_a62       20   0 5.1G  77M  53M S  0.0   0.9   0:01.20 com.android.calendar
 2861 system       20   0 5.1G  72M  55M S  0.0   0.9   0:01.05 com.hra.security_manage:hra_provider
 2679 u0_a44       20   0 5.1G  75M  53M S  0.0   0.9   0:01.10 com.android.providers.calendar
 2678 nobody       20   0  34M 1.9M 1.1M S  0.0   0.0   0:00.24 dnslinspirer
 2623 u0_a86       20   0 5.4G  27M 1.5M S  0.0   0.3   2:08.97 enohp.diordna.543gnocgnay.moc
 2570 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 2129 u0_a102      20   0 5.4G  90M  69M S  0.0   1.1   0:01.69 com.adups.fota
 2101 u0_a53       20   0 5.2G  97M  77M S  0.0   1.2   0:03.27 android.process.media
 2048 u0_a84       20   0 5.5G  84M  59M S  0.0   1.0   0:01.45 com.debug.loggerui
 2024 u0_a40       20   0 5.1G  87M  65M S  0.0   1.1   0:01.86 android.process.acore
 1934 u0_a78       20   0 5.1G  73M  52M S  0.0   0.9   0:01.01 com.android.printspooler
 1909 u0_a92       10 -10 7.8G 195M 193M S  0.0   2.4   1:25.06 com.yangcong345.cloud.ui.launcher
 1890 u0_a88       20   0 5.1G  67M  43M S  0.0   0.8   0:00.87 com.android.smspush
 1870 u0_a69       20   0 7.2G 106M 106M S  0.0   1.3   1:23.09 com.yangcong345.cloud.launcher
 1843 secure_element 20 0 5.1G  61M  43M S  0.0   0.7   0:00.88 com.android.se
 1704 system       20   0 5.1G  85M  63M S  0.0   1.0   0:01.12 com.android.deskclock
 1702 system       20   0  35M 3.7M 3.3M S  0.0   0.0   0:00.67 batterywarning
 1637 bluetooth    20   0 5.7G  84M  73M S  0.0   1.0   0:03.51 com.android.bluetooth
 1611 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 1516 u0_a106      20   0 5.2G  83M  69M S  0.0   1.0   0:02.71 com.android.launcher3
 1493 u0_a64       20   0 1.5G  95M  80M S  0.0   1.2   1:49.91 com.google.android.inputmethod.pinyin
 1474 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 1445 u0_a51       20   0 5.1G  67M  52M S  0.0   0.8   0:00.98 android.ext.services
 1407 system       20   0 5.8G 139M 127M S  0.0   1.7   0:13.58 com.android.settings
 1390 webview_zygote 20 0 1.6G  53M  37M S  0.0   0.6   0:00.25 webview_zygote
 1354 radio        20   0 5.5G  72M  72M S  0.0   0.9   0:13.03 com.android.phone
 1331 network_stack 20  0 5.2G  67M  67M S  0.0   0.8   0:08.03 com.android.networkstack
 1282 wifi         20   0 2.0G  11M  10M S  0.0   0.1   0:01.25 wpa_supplicant -g@android:wpa_wlan0
 1268 root         RT   0    0    0    0 S  0.0   0.0   1:58.00 [disp_queue_P0]
 1261 u0_a100      20   0 6.8G 158M 151M S  0.0   2.0   2:37.97 com.android.systemui
 1260 root         10 -10    0    0    0 S  0.0   0.0   0:06.85 [rx_thread]
 1259 root         10 -10    0    0    0 S  0.0   0.0   0:16.43 [hif_thread]
 1258 root         10 -10    0    0    0 S  0.0   0.0   1:14.20 [tx_thread]
 1227 wifi         20   0  60M 6.9M 6.3M S  0.0   0.0   0:01.30 android.hardware.wifi@1.0-service-lazy-mediatek
  923 root         20   0    0    0    0 I  0.0   0.0   0:02.64 [kworker/6:2]
  757 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_eint_wq]
  756 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_timer_wq]
  644 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  636 root         20   0  34M 3.0M 2.7M S  0.0   0.0   0:00.27 ip6tables-restore --noflush -w -v
  635 root         20   0  34M 3.2M 2.6M S  0.0   0.0   0:00.28 iptables-restore --noflush -w -v
  619 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  618 system       20   0  92M 4.4M 4.3M S  0.0   0.0   0:00.07 netdagent
  616 root         20   0  43M 8.0M 7.3M S  0.0   0.1   0:00.05 update_engine --logtostderr --logtofile --foreground
  615 tombstoned   20   0  34M 2.0M 1.9M S  0.0   0.0   0:00.01 tombstoned
  614 system       20   0 2.0G 5.5M 5.0M S  0.0   0.0   0:00.04 gatekeeperd /data/misc/gatekeeper
  613 root         20   0    0    0    0 S  0.0   0.0   0:00.05 [mtk_wmtd_worker]
  612 root         20   0    0    0    0 S  0.0   0.0   0:00.65 [mtk_wmtd]
  610 mediacodec   20   0 258G  21M  16M S  0.0   0.2   0:37.64 media.swcodec oid.media.swcodec/bin/mediaswcodec
  608 wifi         20   0  34M 2.4M 2.2M S  0.0   0.0   0:00.23 wlan_assistant
  607 system       20   0  81M 8.2M 7.6M S  0.0   0.1   0:00.17 vendor.mediatek.hardware.pq@2.2-service
  606 gps          20   0  59M 3.6M 3.6M S  0.0   0.0   0:05.54 mtk_agpsd
  605 system       20   0 9.1M 2.9M 2.7M S  0.0   0.0   0:01.77 thermalloadalgod
  602 system       20   0  34M 3.4M 3.2M S  0.0   0.0   0:02.53 thermal
  600 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mtk_stp_btm]
  598 root         20   0    0    0    0 S  0.0   0.0   0:00.16 [mtk_stp_psm]
  597 cameraserver 20   0 281M  37M  32M S  0.0   0.4   0:00.89 camerahalserver
  595 system       20   0  76M 5.0M 4.8M S  0.0   0.0   2:11.24 android.hardware.sensors@2.0-service-mediatek
